RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);GL;Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Centrumdemocraten;SP (Socialistische Partij);De Groenen;Vrouwenpartij;Bejaarden Centraal;VCN: partij van communisten in Nederland;Realisten Nederland;Socialistische Arbeiderspartij;Anti Werkloosheid Partij;Politieke Partij voor Ouderen;Vooruitstrevende Minderheden Partij;Partij Democratisch Socialisten;Socialistische Minderheden Partij;Humanistische Partij;Milieu Defensie Partij 2000+;Grote Alliance Partij;Staatkundige Federatie
Montfoort;G0335;10033;Utrecht;P26;8712;7492;18;;7474;3632;1176;1258;549;224;428;55;70;43;7;10;13;3;;2;3;1;;;;;;;;
Montfort;G0943;10266;Limburg;P31;2387;1893;12;;1881;1063;506;192;74;31;;2;2;6;1;1;2;;;1;;;;;;;;;;
Mook en Middelaar;G0944;10271;Limburg;P31;5374;4505;14;;4491;1924;1131;737;448;179;5;12;3;12;17;11;4;6;1;1;;;;;;;;;;
Moordrecht;G0563;10120;Zuid-Holland;P28;5113;4025;21;;4004;1251;1161;692;411;115;215;35;46;51;8;10;4;;2;;2;;;;;1;;;;
Muiden;G0424;10958;Noord-Holland;P27;5109;4401;10;;4391;1341;1106;1060;593;161;25;30;10;26;4;26;3;1;2;2;;;1;;;;;;;
Muntendam;G0029;10550;Groningen;P20;3738;3244;17;;3227;340;2250;239;139;138;7;31;29;4;17;7;5;;6;10;5;;;;;;;;;
Naaldwijk;G0565;11418;Zuid-Holland;P28;20143;17099;53;;17046;10152;2305;2636;953;284;184;126;148;145;12;53;14;7;2;6;11;2;;6;;;;;;
Naarden;G0425;10187;Noord-Holland;P27;12633;10563;7;;10556;3078;1953;3693;1144;310;82;90;53;64;6;37;9;25;5;1;2;2;2;;;;;;;
Nederhorst den Berg;G0426;10715;Noord-Holland;P27;3850;3309;7;;3302;1320;737;741;249;128;17;28;11;24;25;17;;2;1;;;;1;1;;;;;;
Nederlek;G0643;10050;Zuid-Holland;P28;10945;9313;31;;9282;2238;3232;1767;834;235;684;74;77;73;15;21;7;8;1;6;5;3;;1;;1;;;;
Nederweert;G0946;10681;Limburg;P31;11540;9327;37;;9290;5640;2418;703;321;132;2;9;5;26;8;10;11;3;1;;;1;;;;;;;;
Neede;G0266;10367;Gelderland;P25;8443;7428;26;;7402;2811;2903;941;383;143;12;102;45;22;3;8;7;;3;1;3;2;11;2;;;;;;
Neer;G0947;10682;Limburg;P31;2628;2038;7;;2031;1221;460;163;71;94;1;4;1;8;1;3;2;;1;;1;;;;;;;;;
Neerijnen;G0304;10125;Gelderland;P25;7799;6720;33;;6687;2177;2196;1020;311;125;689;54;42;45;2;12;3;;1;1;3;;5;1;;;;;;
