RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);VVD;CDA;Democraten 66 (D66);GL;SP (Socialistische Partij);Reformatorische Politieke Federatie (RPF);Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Centrumdemocraten;AOV/Unie55+;Nederland Mobiel;Senioren 2000;Nederlandse Middenstands Partij;De Groenen;Natuurwetpartij;Katholiek Politieke Partij;Vrije Indische Partij;Nieuw Solidair Ouderen Verbond;Nieuwe Communistische Partij;Idealisten/Jij;Het Kiezers Collectief
Ravenstein;G0835;10805;Noord-Brabant;P30;6374;5204;;6;5198;1634;866;1454;337;276;488;3;3;7;38;14;20;15;16;5;3;4;2;9;;1;3
Reeuwijk;G0595;10485;Zuid-Holland;P28;9563;7886;;6;7880;1350;2635;1607;648;315;103;411;547;79;41;21;28;28;44;4;5;9;2;;1;1;1
Reiderland;G1661;11043;Groningen;P20;5519;3980;;26;3954;1842;475;150;128;259;345;37;1;9;38;31;23;11;14;11;6;0;3;;563;8;
Reimerswaal;G0703;10077;Zeeland;P29;14658;11252;;9;11243;2368;2127;1651;483;337;224;552;3119;111;46;43;71;30;34;10;9;4;3;12;6;3;
Renkum;G0274;11325;Gelderland;P25;25377;20220;;14;20206;5443;5728;3673;2299;1471;483;316;106;152;66;150;68;73;52;36;26;20;11;18;6;8;1
Renswoude;G0339;10269;Utrecht;P26;2810;2285;;1;2284;302;597;710;81;44;34;153;269;23;20;9;14;2;23;0;2;0;0;0;0;1;0
Reusel-De Mierden;G1667;10162;Noord-Brabant;P30;8927;6493;;0;6493;1978;1197;2333;286;294;178;6;5;9;40;21;38;27;31;3;5;15;3;21;;2;1
Rheden;G0275;11355;Gelderland;P25;35249;26927;;27;26900;9160;6716;4327;2613;1889;777;439;44;200;148;165;87;93;50;54;54;17;27;23;8;6;3
Rhenen;G0340;10309;Utrecht;P26;12800;10116;;8;10108;2472;2395;1701;703;504;184;390;1355;82;53;99;84;18;23;13;7;5;5;11;1;3;0
Ridderkerk;G0597;10646;Zuid-Holland;P28;36133;26841;;50;26791;7992;6264;3902;1759;1080;822;1095;2587;500;154;117;189;105;65;44;30;16;16;32;9;11;2
Rijnsburg;G0602;11118;Zuid-Holland;P28;10244;8069;;4;8065;1247;1954;2884;307;255;61;620;155;460;26;14;32;24;15;3;4;1;0;;3;0;0
Rijnwaarden;G0196;10819;Gelderland;P25;8355;5989;;11;5978;2530;1155;1240;421;338;120;14;0;12;55;16;28;16;13;6;4;3;1;6;0;0;0
Rijnwoude;G1672;11257;Zuid-Holland;P28;14289;11510;;6;11504;2517;3148;2709;1011;518;172;416;674;80;43;26;64;20;57;14;23;5;3;;0;2;2
Rijssen;G0178;10358;Overijssel;P23;18135;15662;;10;15652;2368;1519;3255;258;283;182;2684;4777;138;58;28;53;4;25;5;3;5;2;;2;2;1
Rijswijk;G0603;11133;Zuid-Holland;P28;38626;29256;;75;29181;6953;10093;4270;3233;1982;820;316;127;198;278;165;192;182;70;39;49;62;67;66;10;8;1
Roerdalen;G1669;10196;Limburg;P31;7722;5580;;13;5567;1703;1454;1285;394;362;116;6;0;4;66;38;14;15;14;1;76;9;1;7;1;0;1
Roermond;G0957;11313;Limburg;P31;32526;20808;;82;20726;5882;5814;3552;1710;1884;654;61;10;38;264;314;66;96;43;34;155;70;24;43;3;5;4
Roggel en Neer;G1670;10505;Limburg;P31;6305;4558;;5;4553;1223;1130;1302;261;353;90;6;2;9;28;36;15;34;16;12;25;5;0;4;0;1;1
Roosendaal;G1674;10407;Noord-Brabant;P30;55021;35777;;52;35725;10082;10228;6956;2766;2405;1509;193;27;92;427;137;219;220;89;82;59;35;65;82;40;10;2
Rossum;G0276;10860;Gelderland;P25;2500;1967;;9;1958;564;500;448;170;125;82;4;4;11;;10;10;4;14;5;3;1;0;;1;0;2
Rotterdam;G0599;10345;Zuid-Holland;P28;426026;265754;;1215;264539;96189;60256;24525;24147;23298;15810;3219;2742;2395;3319;2452;1497;1378;470;395;613;175;228;1053;219;83;76
Rozenburg;G0600;11314;Zuid-Holland;P28;10315;7145;;8;7137;2291;1910;1006;585;420;275;120;50;145;68;56;97;45;13;5;17;1;9;12;7;3;2
Rozendaal;G0277;10684;Gelderland;P25;954;874;;0;874;100;422;134;125;57;12;8;2;3;1;0;2;1;1;1;2;0;3;0;0;0;0
Rucphen;G0840;11152;Noord-Brabant;P30;17720;10019;;7;10012;3735;2359;2058;408;427;382;31;0;4;372;49;70;33;12;14;12;8;2;15;19;2;0
Ruurlo;G0278;10879;Gelderland;P25;6239;4815;;4;4811;1500;1471;1119;323;174;62;24;9;15;20;20;23;6;25;12;5;2;0;0;1;0;0
Sas van Gent;G0704;11405;Zeeland;P29;6108;4019;;4;4015;1324;1098;684;371;239;126;17;25;10;39;25;12;13;14;4;2;5;1;2;2;2;
Sassenheim;G0604;10612;Zuid-Holland;P28;10819;8656;;15;8641;1894;2856;2087;801;406;214;68;21;38;31;21;63;42;27;15;13;21;11;;5;2;5
Schagen;G0441;10511;Noord-Holland;P27;13428;10264;;22;10242;3169;3089;1260;1191;830;284;76;12;25;49;57;69;49;27;10;8;16;8;;4;5;4
Scheemda;G0039;10711;Groningen;P20;11099;8744;;21;8723;3727;1183;1662;446;548;300;272;13;85;50;51;18;20;25;13;5;4;5;;295;1;
Schermer;G0458;10308;Noord-Holland;P27;3689;3007;;10;2997;773;913;640;316;172;59;19;3;7;13;12;33;8;9;5;9;2;0;;1;2;1
Scherpenzeel;G0279;11146;Gelderland;P25;6693;5624;;1;5623;1017;1440;1138;299;163;58;456;846;44;32;20;70;5;16;5;5;3;0;3;0;2;1
Schiedam;G0606;11260;Zuid-Holland;P28;55552;37815;;34;37781;13281;9151;4510;3187;2927;2136;482;177;203;447;513;321;131;59;58;47;25;32;51;20;13;10
Schiermonnikoog;G0088;10355;Fryslân;P21;805;928;;3;925;267;216;183;111;106;17;3;0;14;1;2;;0;2;2;1;;0;;0;0;
Schijndel;G0844;11178;Noord-Brabant;P30;17041;11850;;36;11814;3895;2579;2390;676;555;1333;6;9;9;102;49;43;62;36;13;17;7;9;19;;3;2
Schinnen;G0962;10132;Limburg;P31;10629;8348;;38;8310;2304;1663;2361;698;574;304;28;1;19;66;129;25;26;18;15;39;18;3;13;2;4;0
Schipluiden;G0607;10130;Zuid-Holland;P28;7377;6140;;3;6137;1029;1978;1958;515;284;58;115;48;47;22;11;24;9;15;5;5;7;4;3;0;0;0
Schoonhoven;G0608;10980;Zuid-Holland;P28;8810;7080;;10;7070;1837;1894;1293;613;438;140;321;276;52;50;20;36;34;21;21;7;2;10;;1;4;0
Schoorl;G0444;10627;Noord-Holland;P27;5144;4149;;4;4145;1033;1261;650;514;359;142;16;2;15;35;22;23;17;3;28;13;6;2;;0;3;1
Schouwen-Duiveland;G1676;10843;Zeeland;P29;25513;20570;;40;20530;5584;5791;3121;1347;998;336;930;1638;279;80;56;132;73;70;22;25;5;5;27;7;4;
Sevenum;G0964;10045;Limburg;P31;5539;4081;;6;4075;955;737;1615;288;232;140;12;4;1;11;15;6;13;7;4;11;13;3;5;0;2;1
's-Graveland;G0390;10534;Noord-Holland;P27;7290;5779;;7;5772;1316;1984;1014;628;397;101;82;43;51;28;20;41;20;19;14;9;1;3;;1;0;0
's-Gravendeel;G0517;10052;Zuid-Holland;P28;6711;5238;;2;5236;1645;1242;948;349;188;101;261;347;48;25;10;32;8;16;3;7;4;0;1;0;0;1
's-Gravenhage;G0518;11434;Zuid-Holland;P28;339005;218328;;638;217690;60511;66875;25309;24079;19442;8035;2466;1365;1489;2178;1129;897;1343;393;625;547;328;354;;176;78;71
's-Gravenzande;G0519;10640;Zuid-Holland;P28;13855;10784;;12;10772;1776;3896;3004;549;319;113;394;393;99;70;28;44;27;36;3;7;2;3;5;1;2;1
's-Hertogenbosch;G0796;10054;Noord-Brabant;P30;96377;65994;;76;65918;19872;15986;10139;6610;6124;4578;201;43;232;457;487;229;236;178;133;105;114;65;102;;22;5
Simpelveld;G0965;10515;Limburg;P31;8567;6221;;5;6216;2053;1029;1848;320;382;301;8;2;13;71;45;17;39;8;7;38;16;4;9;1;2;3
Sint Anthonis;G1702;11415;Noord-Brabant;P30;8445;6957;;27;6930;1649;1049;3173;329;363;167;6;1;3;39;21;46;17;33;5;5;8;0;14;;0;2
Sint-Michielsgestel;G0845;10496;Noord-Brabant;P30;20847;15187;;34;15153;4664;3349;3666;1268;797;798;18;2;21;84;183;56;76;63;24;26;21;3;26;;2;6
Sint-Oedenrode;G0846;10399;Noord-Brabant;P30;12907;9849;;33;9816;3066;1984;2851;697;539;347;9;2;7;48;38;46;65;33;11;14;14;2;28;;5;10
Sittard;G0968;11230;Limburg;P31;37676;25463;;29;25434;7383;5305;5076;2228;2612;1020;54;6;40;169;1086;59;86;48;36;78;59;31;38;13;5;2
Skarsterlân;G0051;10022;Fryslân;P21;19699;15683;;13;15670;5106;2933;4757;1023;845;311;297;31;102;60;38;;36;49;30;35;;7;;7;3;
Sliedrecht;G0610;11331;Zuid-Holland;P28;18027;13824;;5;13819;4081;2600;1763;671;531;371;1068;2095;337;93;35;67;33;34;13;10;2;4;5;3;3;0
Slochteren;G0040;10747;Groningen;P20;11165;8503;;14;8489;2917;1646;1225;732;420;249;132;32;788;21;187;29;39;43;9;5;1;1;;13;0;
Sluis-Aardenburg;G1698;11020;Zeeland;P29;4552;3310;;2;3308;1018;1027;741;211;117;76;15;5;10;17;19;11;5;14;2;5;4;5;5;1;0;
Smallingerland;G0090;10405;Fryslân;P21;38650;30487;;30;30457;10630;3987;7617;2042;2001;1239;1217;149;1170;94;58;;63;77;46;31;;11;;16;9;
Sneek;G0091;11421;Fryslân;P21;23211;17046;;18;17028;6088;3113;3981;1340;1176;505;380;25;103;68;43;;57;34;32;43;;4;;35;1;
Soest;G0342;11021;Utrecht;P26;33253;25490;;25;25465;5236;9279;4305;2634;1623;476;606;217;352;124;106;152;98;87;41;43;21;30;14;5;8;8
Someren;G0847;10203;Noord-Brabant;P30;13330;9573;;13;9560;2658;2154;3044;496;513;292;20;4;18;88;65;62;45;39;16;7;11;3;18;;1;6
Son en Breugel;G0848;10549;Noord-Brabant;P30;11147;8768;;10;8758;1934;2924;1984;950;446;230;38;3;24;22;32;49;34;34;6;24;11;5;6;;1;1
Spijkenisse;G0612;10735;Zuid-Holland;P28;52667;35812;;26;35786;12368;11211;2901;3050;2197;1418;434;222;274;299;224;673;165;71;43;76;14;61;44;24;11;6
Stad Delden;G0179;10913;Overijssel;P23;5800;4969;;10;4959;1251;1296;1597;424;207;64;21;1;14;17;16;16;8;12;4;4;6;0;;0;0;1
Stadskanaal;G0037;10610;Groningen;P20;25661;18121;;34;18087;6638;2353;4501;750;784;608;1187;43;796;72;80;72;39;40;32;19;33;10;;24;6;
Staphorst;G0180;11362;Overijssel;P23;10329;8990;;7;8983;1039;1114;1713;231;134;62;1003;2706;788;37;6;56;12;60;4;5;1;11;;0;1;0
Stede Broec;G0532;11337;Noord-Holland;P27;15578;11624;;6;11618;3185;3410;2075;1059;927;373;98;19;33;77;67;127;66;34;15;22;14;6;;5;1;5
Steenbergen;G0851;10731;Noord-Brabant;P30;17835;12248;;20;12228;4080;3373;2050;838;590;382;173;193;28;132;58;144;73;33;12;18;20;4;18;2;3;4
Steenderen;G0280;10497;Gelderland;P25;3697;3156;;5;3151;881;579;1225;190;119;45;17;6;10;18;7;9;3;20;5;8;0;0;0;0;0;9
Steenwijk;G0181;10546;Overijssel;P23;17149;13193;;41;13152;4637;2712;2883;897;712;266;363;31;313;78;55;71;55;34;16;8;8;4;;2;3;4
Stein;G0971;11319;Limburg;P31;20741;14621;;76;14545;4807;2991;3154;951;1191;622;24;4;26;205;230;65;69;18;27;50;38;38;23;4;3;5
Strijen;G0617;10558;Zuid-Holland;P28;7106;5683;;11;5672;1631;1660;888;346;292;109;214;277;62;40;34;44;9;36;13;3;2;0;4;3;5;0
Susteren;G0974;10457;Limburg;P31;10122;7420;;32;7388;2258;1435;1968;603;567;185;13;4;7;65;130;32;29;21;4;30;13;1;20;1;2;0
