RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);VVD;CDA;Democraten 66 (D66);GL;SP (Socialistische Partij);Reformatorische Politieke Federatie (RPF);Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Centrumdemocraten;AOV/Unie55+;Nederland Mobiel;Senioren 2000;Nederlandse Middenstands Partij;De Groenen;Natuurwetpartij;Katholiek Politieke Partij;Vrije Indische Partij;Nieuw Solidair Ouderen Verbond;Nieuwe Communistische Partij;Idealisten/Jij;Het Kiezers Collectief
Wisch;G0295;10318;Gelderland;P25;15225;11369;;7;11362;3864;2568;3050;711;512;240;154;7;37;45;26;28;34;49;14;7;2;5;4;3;2;0
Wittem;G0990;11371;Limburg;P31;5890;5030;;29;5001;1365;891;1614;372;333;186;18;1;5;47;35;16;18;15;7;26;38;0;10;3;0;1
Woensdrecht;G0873;10602;Noord-Brabant;P30;15526;10501;;16;10485;2943;3369;1849;766;610;299;35;9;28;163;52;128;116;34;13;21;17;6;21;3;1;2
Woerden;G0632;10974;Utrecht;P26;27805;22094;;8;22086;4677;5839;5075;2101;1439;403;1085;795;160;118;66;124;62;49;16;22;19;8;20;3;3;2
Wognum;G0466;10818;Noord-Holland;P27;5682;4567;;19;4548;949;1286;1451;419;245;72;12;1;3;18;20;30;7;14;6;6;4;0;;0;5;0
Wormerland;G0880;10648;Noord-Holland;P27;11465;9090;;6;9084;2735;2509;1250;911;904;290;121;21;41;54;52;65;46;29;10;26;1;11;;4;1;3
Woudenberg;G0351;11398;Utrecht;P26;7883;6519;;2;6517;1059;1666;1278;460;251;93;602;828;103;14;13;78;20;33;7;5;2;1;2;0;2;0
Woudrichem;G0874;10282;Noord-Brabant;P30;10477;8265;;9;8256;1953;1509;2425;393;295;138;685;369;346;31;15;45;16;20;6;6;0;1;1;0;2;0
Wûnseradiel;G0710;10454;Fryslân;P21;8582;6822;;13;6809;1866;1221;2339;425;467;194;94;15;78;19;23;;19;22;6;9;;5;;3;4;
Wymbritseradiel;G0683;11427;Fryslân;P21;11326;9212;;8;9204;2146;1506;3755;607;572;180;229;13;80;36;14;;18;26;5;12;;4;;0;1;
Zaanstad;G0479;11044;Noord-Holland;P27;101280;72885;;86;72799;24321;18689;7926;6955;7787;2740;842;186;395;545;386;698;448;311;158;113;66;113;;67;24;29
Zaltbommel;G0297;10557;Gelderland;P25;8095;6321;;7;6314;1957;1698;821;712;484;217;86;97;100;;27;38;21;17;11;7;3;10;;3;4;1
Zandvoort;G0473;10910;Noord-Holland;P27;12585;9086;;6;9080;2162;4130;728;876;483;307;33;8;26;51;71;56;57;41;15;12;9;5;;2;1;7
Zederik;G0707;10618;Zuid-Holland;P28;9863;8585;;0;8585;1698;1607;2322;359;227;129;911;1051;99;40;15;47;15;35;14;2;2;2;5;1;2;2
Zeevang;G0478;11121;Noord-Holland;P27;4744;3849;;7;3842;928;1636;275;496;248;78;9;9;7;30;17;43;24;21;5;6;5;0;;4;0;1
Zeewolde;G0050;10012;Flevoland;P24;10139;8150;;2;8148;1518;3023;1384;716;349;134;342;68;391;18;30;60;30;61;5;13;0;4;;1;1;
Zeist;G0355;10324;Utrecht;P26;45310;34504;;38;34466;7762;10585;4783;4143;2908;1059;867;815;626;190;132;126;108;73;128;35;24;41;32;9;17;3
Zelhem;G0298;11159;Gelderland;P25;8896;6669;;13;6656;2284;1482;1808;382;239;95;134;105;28;16;15;22;10;18;3;6;1;0;2;1;4;1
Zevenaar;G0299;10938;Gelderland;P25;20761;15440;;14;15426;5328;3791;3163;1386;793;527;82;9;44;62;51;37;45;24;19;13;20;14;13;0;4;1
Zevenbergen;G0878;10046;Noord-Brabant;P30;28181;20306;;15;20291;5987;5394;4269;1484;1136;575;428;130;213;182;52;155;131;44;27;30;11;12;17;8;3;3
Zevenhuizen-Moerkapelle;G1666;11377;Zuid-Holland;P28;7215;5985;;7;5978;1297;1731;890;435;153;74;434;758;46;25;17;49;18;39;6;2;0;2;;0;2;0
Zijpe;G0476;10004;Noord-Holland;P27;8474;6592;;3;6589;1922;2140;1064;611;421;184;44;8;13;24;14;39;28;38;11;12;10;1;;3;0;2
Zoetermeer;G0637;10766;Zuid-Holland;P28;78860;59462;;55;59407;15760;18424;6928;6977;4073;3021;1167;669;582;256;196;621;278;78;64;101;44;113;;20;11;24
Zoeterwoude;G0638;11074;Zuid-Holland;P28;6306;5016;;15;5001;1153;1470;1218;508;339;117;25;31;14;33;11;18;10;11;14;11;11;3;;2;1;1
Zuidhorn;G0056;10021;Groningen;P20;12916;11105;;23;11082;2720;1597;2946;793;621;214;221;56;1697;44;64;31;17;21;17;13;4;0;;5;1;
Zuidlaren;G0136;10002;Drenthe;P22;23934;19285;;11;19274;6186;5875;2222;2338;1227;312;195;18;475;;95;74;99;67;34;27;4;10;;7;4;5
Zundert;G0879;11192;Noord-Brabant;P30;15042;10050;;18;10032;2771;2644;2860;645;475;269;19;5;15;77;49;56;40;41;9;18;12;4;18;1;1;3
Zutphen;G0301;10254;Gelderland;P25;26126;19429;;44;19385;6986;3732;2459;2070;2110;1041;215;25;214;86;64;105;55;26;57;75;15;18;14;8;7;3
Zwartsluis;G0192;10303;Overijssel;P23;3399;2770;;2;2768;717;462;939;100;106;45;139;57;165;8;2;6;6;1;4;2;0;1;;5;2;1
Zwijndrecht;G0642;10468;Zuid-Holland;P28;31715;23882;;31;23851;7002;6118;3944;1778;1271;579;862;978;698;144;76;115;94;47;23;34;13;29;26;3;7;10
Zwolle;G0193;10093;Overijssel;P23;79368;60126;;69;60057;18462;11655;10419;5844;5518;1623;2283;280;2815;206;176;149;154;76;231;56;21;35;;25;20;9
