RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;SP (Socialistische Partij);Lijst Pim Fortuyn;GL;Democraten 66 (D66);ChristenUnie;Staatkundig Gereformeerde Partij (SGP);Partij voor de Dieren;LN;Partij van de Toekomst;Lijst Ratelband;Duurzaam Nederland;Nieuwe Communistische Partij;De Conservatieven.nl;VIP Vooruitstrevende Integratie Partij;Alliantie Vernieuwing en Democratie;Lijst Veldhoen
Veere;G0717;10369;Zeeland;P29;16537;14549;;3;14546;5497;2250;2500;485;528;556;373;511;1704;76;32;11;11;2;10;;;;
Veghel;G0860;10985;Noord-Brabant;P30;26671;21672;;18;21654;9529;4315;3547;1723;1013;608;574;59;7;74;90;65;11;12;7;12;1;7;
Veldhoven;G0861;10071;Noord-Brabant;P30;31993;25789;;19;25770;8870;5602;5286;2003;1551;978;913;156;11;123;140;101;16;1;11;5;1;2;
Velsen;G0453;10620;Noord-Holland;P27;50441;40416;;34;40382;9642;11363;8657;2484;2964;1924;1976;688;67;248;221;52;41;17;23;11;;4;
Venhuizen;G0454;10433;Noord-Holland;P27;5788;4992;;10;4982;1588;938;1409;245;302;201;196;27;6;26;30;6;3;0;4;;;1;
Venlo;G0983;10477;Limburg;P31;67292;48634;;64;48570;17085;12365;8379;2918;3057;2497;1413;168;23;261;208;72;55;45;8;16;;;
Venray;G0984;11222;Limburg;P31;28650;22320;;17;22303;9384;5140;3165;1572;1163;878;688;43;7;92;93;32;11;19;8;8;;;
Vianen;G0620;10887;Utrecht;P26;14719;12119;;9;12110;3663;3118;2298;754;748;460;440;157;325;45;64;19;6;1;8;1;3;0;
Vlaardingen;G0622;10811;Zuid-Holland;P28;56950;43925;;78;43847;9960;13174;7239;3347;4520;1868;1524;803;723;290;194;58;47;33;14;25;12;6;10
Vlagtwedde;G0048;11249;Groningen;P20;13029;10148;;13;10135;2820;4196;1245;592;451;312;175;195;13;76;24;12;11;1;11;;;1;
Vlieland;G0096;10211;Fryslân;P21;859;703;;1;702;98;194;257;34;28;34;48;1;0;3;3;1;1;0;0;;;0;
Vlissingen;G0718;10270;Zeeland;P29;34404;25950;;36;25914;6661;7723;4414;1955;1850;1137;782;500;420;247;117;30;31;30;17;;;;
Vlist;G0623;11174;Zuid-Holland;P28;7348;6432;;4;6428;2206;1244;1268;224;362;167;219;160;508;25;33;5;2;0;1;4;0;0;
Voerendaal;G0986;11341;Limburg;P31;10188;8547;;5;8542;3852;1920;1174;479;402;334;256;22;1;54;30;9;6;0;3;0;;;
Voorhout;G0625;10017;Zuid-Holland;P28;10102;8901;;9;8892;3115;1411;2491;380;483;375;478;63;17;25;28;10;8;3;3;2;0;0;
Voorschoten;G0626;10537;Zuid-Holland;P28;16369;14187;;16;14171;4148;2727;3970;522;727;791;938;143;59;78;39;5;14;1;4;1;3;1;
Voorst;G0285;10912;Gelderland;P25;17957;15325;;17;15308;5930;4016;2804;553;534;522;499;82;203;60;48;27;13;4;10;1;;2;
Vorden;G0286;10957;Gelderland;P25;6657;5875;;4;5871;2349;1398;1153;260;193;217;184;50;10;22;15;16;2;0;0;0;;2;
Vught;G0865;11224;Noord-Brabant;P30;19061;15677;;14;15663;4950;3710;3389;1065;646;875;768;58;7;72;58;26;24;1;10;3;0;1;
Waalre;G0866;10959;Noord-Brabant;P30;12172;10547;;7;10540;3597;1874;2823;540;534;419;545;40;4;63;40;48;6;2;2;2;0;1;
Waalwijk;G0867;11359;Noord-Brabant;P30;34866;27312;;34;27278;9523;6165;5016;1877;1673;896;798;417;510;113;144;73;37;19;8;6;0;3;
Waddinxveen;G0627;10081;Zuid-Holland;P28;19613;16705;;16;16689;5255;3216;3415;561;1047;505;618;907;964;80;62;21;18;6;3;8;0;3;
Wageningen;G0289;11010;Gelderland;P25;25727;21663;;27;21636;4282;6856;2937;1752;504;2825;1424;628;250;85;40;27;10;4;8;4;;0;
Warmond;G0628;10204;Zuid-Holland;P28;3842;3302;;3;3299;1231;547;765;143;220;148;181;12;7;21;11;7;4;0;1;1;0;0;
Warnsveld;G0291;10838;Gelderland;P25;6828;5953;;7;5946;1491;1928;1077;431;151;336;352;119;6;29;18;3;3;2;0;0;;0;
Wassenaar;G0629;10164;Zuid-Holland;P28;17825;15331;;13;15318;4661;1736;6193;365;960;436;724;82;29;67;34;6;16;1;3;5;0;0;
Wateringen;G0630;11329;Zuid-Holland;P28;12033;10175;;23;10152;4156;1464;2363;296;944;309;383;84;17;46;50;13;15;1;5;5;0;0;1
Waterland;G0852;10983;Noord-Holland;P27;13074;11599;;4;11595;3254;2838;2620;601;810;602;606;106;10;73;45;12;11;0;6;;;1;
Weert;G0988;11081;Limburg;P31;36759;28080;;24;28056;9289;6976;6131;1832;1595;970;843;86;15;130;118;20;22;11;12;6;;;
Weesp;G0457;10773;Noord-Holland;P27;13560;11034;;10;11024;2578;3131;2284;733;649;715;621;92;34;69;63;23;16;3;5;7;;1;
Wehl;G0292;11116;Gelderland;P25;5136;4171;;1;4170;2056;1123;450;153;152;105;69;7;6;24;13;9;2;1;0;0;;0;
Werkendam;G0870;10078;Noord-Brabant;P30;19733;16756;;18;16738;6749;3068;2336;615;894;360;313;574;1659;62;66;29;6;0;1;3;2;1;
Wervershoof;G0459;11270;Noord-Holland;P27;6250;5386;;3;5383;2363;930;1080;233;350;178;141;23;1;21;36;8;7;2;4;;;6;
West Maas en Waal;G0668;10042;Gelderland;P25;14061;11990;;14;11976;4653;3007;2143;678;647;400;322;18;6;33;40;15;6;3;5;;;;
Wester-Koggenland;G0558;10354;Noord-Holland;P27;10205;8839;;6;8833;3568;1657;1988;365;436;355;318;23;8;50;48;6;3;1;5;;;2;
Westerveld;G1701;10186;Drenthe;P22;14845;12889;;7;12882;2852;4635;2946;580;565;581;446;128;20;51;47;19;7;4;0;1;;;
Westervoort;G0293;11085;Gelderland;P25;11802;9565;;8;9557;2512;3137;1587;752;471;527;353;102;8;40;33;13;18;1;2;1;;0;
Weststellingwerf;G0098;11322;Fryslân;P21;19708;16214;;22;16192;4307;6083;2465;1016;895;600;361;220;21;78;79;33;15;1;14;;;4;
Westvoorne;G0614;10009;Zuid-Holland;P28;10997;9347;;13;9334;2145;1930;3198;359;837;235;396;47;47;63;47;8;13;0;0;6;0;1;2
Wierden;G0189;10676;Overijssel;P23;17369;15621;;10;15611;8660;2245;1943;377;490;367;285;827;369;;30;11;4;;2;1;;;
Wieringen;G0462;11277;Noord-Holland;P27;6488;5189;;2;5187;1069;1650;1303;302;381;183;171;37;5;28;35;15;6;0;2;;;0;
Wieringermeer;G0463;10239;Noord-Holland;P27;9481;7925;;5;7920;2782;1794;1565;404;519;260;258;157;35;44;65;17;14;1;4;;;1;
Wijchen;G0296;10723;Gelderland;P25;29374;24420;;22;24398;8356;6574;4376;1824;1053;1016;856;82;8;78;105;30;25;14;1;;;;
Wijdemeren;G1696;10534;Noord-Holland;P27;17791;15449;;13;15436;4840;2752;4421;656;873;663;785;190;78;105;38;9;16;0;2;8;;0;
Wijk bij Duurstede;G0352;10760;Utrecht;P26;17006;14454;;15;14439;4262;3423;3116;877;733;774;602;199;277;80;60;11;15;1;6;3;0;0;
Winschoten;G0052;10453;Groningen;P20;14620;11328;;2;11326;1788;5716;1450;708;374;500;288;313;15;49;36;20;8;0;60;;;1;
Winsum;G0053;11135;Groningen;P20;10282;9097;;12;9085;2581;3079;1027;592;239;547;319;592;40;34;22;8;4;1;0;;;0;
Winterswijk;G0294;11119;Gelderland;P25;21982;18030;;12;18018;4766;6482;3703;929;592;661;556;135;16;58;66;27;18;2;6;0;;1;
Wisch;G0295;10318;Gelderland;P25;15025;12230;;13;12217;4585;3477;1963;628;521;461;314;120;5;47;44;32;6;8;5;0;;1;
Woensdrecht;G0873;10602;Noord-Brabant;P30;15775;12130;;9;12121;4053;2792;2711;660;916;395;358;37;9;63;62;34;7;2;3;11;3;5;
Woerden;G0632;10974;Utrecht;P26;35135;30286;;29;30257;10945;5553;5876;1408;1763;1337;1284;973;842;103;103;22;21;3;6;11;4;3;
Wognum;G0466;10818;Noord-Holland;P27;5978;5080;;2;5078;2285;816;985;228;259;187;226;21;4;26;32;7;0;0;1;;;1;
Wormerland;G0880;10648;Noord-Holland;P27;11714;9935;;7;9928;2387;2875;2041;703;547;660;459;121;11;59;37;11;12;2;3;;;0;
Woudenberg;G0351;11398;Utrecht;P26;8063;7090;;5;7085;2611;983;1229;225;270;197;217;450;855;20;14;8;3;0;1;2;0;0;
Woudrichem;G0874;10282;Noord-Brabant;P30;10786;9210;;9;9201;4019;1674;1274;386;363;209;210;672;299;34;30;14;11;0;3;3;0;0;
Wûnseradiel;G0710;10454;Fryslân;P21;8748;7526;;3;7523;3106;1905;977;481;301;295;223;133;10;18;42;25;3;1;1;;;2;
Wymbritseradiel;G0683;11427;Fryslân;P21;11776;10258;;3;10255;4939;2054;1313;544;289;432;301;243;16;28;78;12;5;0;1;;;0;
Zaanstad;G0479;11044;Noord-Holland;P27;103392;81470;;123;81347;14874;27705;14973;6610;5770;5176;3630;952;176;563;489;136;80;114;89;;;10;
Zaltbommel;G0297;10557;Gelderland;P25;18854;16169;;10;16159;4674;3837;2577;675;631;556;519;624;1932;50;48;21;11;1;3;;;;
Zandvoort;G0473;10910;Noord-Holland;P27;13238;10481;;16;10465;2028;2308;3591;514;851;394;531;35;5;119;30;13;18;4;11;9;;4;
Zederik;G0707;10618;Zuid-Holland;P28;9949;8996;;3;8993;3932;1528;1175;199;361;157;159;475;941;27;20;11;2;0;2;3;1;0;0
Zeevang;G0478;11121;Noord-Holland;P27;4728;4132;;3;4129;805;959;1352;216;243;226;263;15;4;21;12;4;6;0;3;;;0;
Zeewolde;G0050;10012;Flevoland;P24;12317;10557;;4;10553;3298;1774;2740;347;597;419;426;767;83;35;46;14;4;1;2;;;0;
Zeist;G0355;10324;Utrecht;P26;45387;37453;;34;37419;9489;8525;8682;2160;1722;2617;2068;937;747;220;148;30;24;22;9;9;2;8;
Zelhem;G0298;11159;Gelderland;P25;8699;7282;;6;7276;2804;2068;1180;260;329;204;172;93;101;28;18;11;5;1;1;1;;0;
