RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;Partij van de Arbeid (P.v.d.A.);PVV (Partij voor de Vrijheid);CDA;SP (Socialistische Partij);Democraten 66 (D66);GROENLINKS;ChristenUnie;Staatkundig Gereformeerde Partij (SGP);Partij voor de Dieren;TROTS op Nederland Lijst Rita Verdonk;Partij voor Mens en Spirit (MenS);Piratenpartij;Lijst 17;Partij TTn;Nieuw Nederland;Heel NL;Evangelische Partij Nederland
Harderwijk;G0243;10786;Gelderland;P25;33192;25585;52;19;25514;5669;3612;3148;5085;1654;1320;1310;2651;520;289;101;70;35;16;3;8;9;14
Hardinxveld-Giessendam;G0523;10167;Zuid-Holland;P28;13047;10722;11;2;10709;1488;1180;1315;1797;539;197;224;1880;1954;65;40;11;5;4;1;3;6;
Haren;G0017;11058;Groningen;P20;14291;12202;13;12;12177;2856;2952;760;1490;733;1229;1248;626;51;158;18;39;6;7;1;2;;1
Harenkarspel;G0395;10963;Noord-Holland;P27;11914;9420;8;15;9397;2580;1498;1282;1685;812;560;593;78;5;137;90;50;12;7;5;2;1;0
Harlingen;G0072;10909;Fryslân;P21;12155;9124;16;7;9101;1534;2297;1276;1065;1372;396;586;350;22;113;46;28;9;3;0;1;;3
Hattem;G0244;10673;Gelderland;P25;8986;7448;5;3;7440;1154;1550;655;1375;482;405;315;1255;131;49;31;21;6;4;1;1;3;2
Heemskerk;G0396;10679;Noord-Holland;P27;29571;22261;50;12;22199;4820;4288;3675;2911;2292;1537;1684;313;20;356;166;78;29;19;4;7;;
Heemstede;G0397;11288;Noord-Holland;P27;19771;16433;32;10;16391;5710;2754;1267;1993;759;2146;1213;179;28;227;37;48;11;10;7;2;;
Heerde;G0246;10291;Gelderland;P25;14254;11281;17;5;11259;1872;1927;1307;2595;688;450;376;1567;254;131;52;24;4;7;0;0;0;5
Heerenveen;G0074;10680;Fryslân;P21;33620;25322;31;13;25278;4647;7589;2652;2958;2819;1523;1667;848;71;275;84;81;30;20;5;3;;6
Heerhugowaard;G0398;10752;Noord-Holland;P27;37979;27940;51;37;27852;7075;5287;4051;3254;3130;1858;1844;522;22;361;248;105;42;30;6;5;7;5
Heerlen;G0917;10902;Limburg;P31;70702;47663;95;53;47515;5152;8444;13818;5161;8724;1865;2456;394;35;746;363;216;76;30;6;16;13;
