RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);Staatkundig Gereformeerde Partij (SGP);Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Communistische Partij van Nederland;CP;SP (Socialistische Partij);Evangelische Volkspartij;Federatie Groenen;Partij voor de Middengroepen;Loesje;Centrumdemocraten;VCN: partij van communisten in Nederland;Partij voor Ambtenaren en Trendvolgers;Anti Revolutionairen '85;Socialistische Arbeiderspartij;God Met Ons;Partij Algemeen Belang;Partij Geluk voor Iedereen;Lijst Wissink;Humanistische Partij;Lijst Brummer
Aalburg;G0738;11084;Noord-Brabant;P30;7258;6478;19;;6459;2692;1017;670;164;1504;42;26;88;187;13;8;1;15;13;6;1;6;;;1;1;1;2;;1;;
Aalsmeer;G0358;11264;Noord-Holland;P27;15775;14148;30;;14118;6046;2694;3841;811;79;136;106;84;136;16;40;10;23;23;29;15;9;7;;4;5;;4;;;;
Aalten;G0197;11046;Gelderland;P25;13046;11645;34;;11611;6655;2634;1219;374;25;196;62;62;216;11;12;8;71;8;21;5;3;;;17;2;2;2;5;1;;
Aardenburg;G0648;11020;Zeeland;P29;2669;2325;14;;2311;910;612;629;95;6;18;11;4;;5;3;;3;5;3;4;2;1;;;;;;;;;
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;3866;3465;4;;3461;1828;922;463;143;;38;16;1;8;6;5;4;1;9;11;1;2;;;;;3;;;0;;
Abcoude;G0305;10712;Utrecht;P26;5539;5185;23;;5162;1901;898;1654;352;59;59;62;45;30;16;12;8;12;12;18;5;7;;;10;;;;1;0;1;
Achtkarspelen;G0059;10199;Fryslân;P21;18974;17498;60;;17438;7315;6631;1108;494;198;126;74;630;616;33;18;19;97;10;20;13;3;5;;22;4;;2;;;;
Adorp;G0001;10996;Groningen;P20;1315;1219;2;;1217;433;318;191;69;2;38;11;120;16;4;5;;5;2;2;;;;;1;;;;;;;
Aduard;G0002;10999;Groningen;P20;2060;1947;4;;1943;621;684;276;87;2;31;17;191;8;5;1;6;6;;1;2;1;2;;;;;2;;;;
Akersloot;G0360;10346;Noord-Holland;P27;3621;3307;5;;3302;1535;630;705;286;3;45;22;11;12;11;7;3;2;11;7;6;3;2;;;1;;;;;;
Alblasserdam;G0482;11327;Zuid-Holland;P28;12317;10842;32;;10810;2748;4601;1223;502;1083;86;78;129;204;25;34;3;25;12;18;15;7;3;;7;2;;5;;;;
Albrandswaard;G0613;10124;Zuid-Holland;P28;10652;9291;27;;9264;3089;2481;2415;584;192;77;54;68;70;27;46;23;27;22;42;7;12;4;;7;10;;7;;;;
Alkemade;G0483;10349;Zuid-Holland;P28;9620;8642;8;;8634;4874;1299;1681;377;14;154;77;7;17;20;18;4;22;15;15;18;3;1;10;1;7;;;;;;
Alkmaar;G0361;10527;Noord-Holland;P27;61655;51933;118;;51815;15018;18933;9294;4003;60;885;1192;278;294;645;226;219;89;233;128;121;92;27;;14;30;;34;;;;
Almelo;G0141;11053;Overijssel;P23;43802;38580;124;;38456;12566;16754;5184;1875;117;332;203;266;328;277;136;154;65;49;47;34;34;4;;17;10;;;;4;;
Almere;G0034;10018;Flevoland;P24;31247;25851;37;;25814;4378;11595;5005;2731;23;343;290;102;75;394;404;131;45;53;93;45;32;25;;8;29;;13;;;;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;38994;33336;76;;33260;11711;8194;8148;2356;570;473;275;272;515;69;86;237;133;38;44;39;23;7;34;19;17;;;;;;
Alphen en Riel;G0741;10710;Noord-Brabant;P30;4304;3943;14;;3929;2308;637;709;176;;27;27;5;3;4;5;1;;4;6;7;1;;;1;2;4;1;1;0;;
Ambt Delden;G0142;11400;Overijssel;P23;3928;3722;6;;3716;2595;421;546;87;;13;12;11;5;1;5;2;5;2;4;1;3;;;;1;;;;2;;
Ameland;G0060;11153;Fryslân;P21;2276;2806;8;;2798;1192;806;485;158;;42;21;24;22;15;5;6;10;;2;1;1;;;4;1;;3;;;;
Amerongen;G0306;11372;Utrecht;P26;4801;4384;8;;4376;1610;1042;913;203;366;42;22;10;93;7;9;3;15;10;9;7;5;;;1;3;;;3;3;0;
Amersfoort;G0307;10948;Utrecht;P26;66634;57127;190;;56937;19461;17218;10456;3705;769;1066;799;1826;412;350;180;103;161;108;79;68;88;10;;24;15;;;21;6;12;
Ammerzoden;G0198;10151;Gelderland;P25;2962;2664;13;;2651;1556;545;330;75;53;20;11;4;16;2;4;5;5;7;8;4;3;;;;1;1;1;;0;;
Amstelveen;G0362;10799;Noord-Holland;P27;54085;47807;216;;47591;13696;11290;15417;4259;129;660;668;191;251;213;199;67;117;144;82;57;90;16;;15;14;;16;;;;
Amsterdam;G0363;11150;Noord-Holland;P27;508994;392444;1400;;391044;61847;184953;62044;32821;546;7522;13257;952;1116;11109;5934;1021;762;1462;740;553;2350;1062;;95;326;;128;202;;180;62
Andijk;G0364;10822;Noord-Holland;P27;4055;3692;9;;3683;1660;914;522;182;46;44;35;19;162;50;6;2;7;12;5;5;2;6;;4;;;;;;;
Angerlo;G0199;11131;Gelderland;P25;3144;2865;6;;2859;1364;947;296;164;2;23;22;4;5;3;7;3;4;1;2;8;1;;;;;0;2;;1;;
Anloo;G0105;10787;Drenthe;P22;5308;4903;8;;4895;544;2327;1461;316;1;57;72;33;15;26;;9;9;5;8;8;2;1;;;1;;;;;;
Anna Paulowna;G0366;10344;Noord-Holland;P27;7234;6484;7;;6477;2398;1488;1866;413;8;71;36;61;41;22;11;4;8;10;13;11;5;2;;2;6;;1;;;;
Apeldoorn;G0200;11075;Gelderland;P25;106845;92772;222;;92550;31693;29262;18511;6014;2021;1046;664;708;1158;215;218;126;263;140;95;152;94;35;;48;36;;;26;12;13;
Appingedam;G0003;10886;Groningen;P20;9521;8258;24;;8234;2086;4346;873;387;10;76;65;131;54;42;8;28;62;8;6;5;4;35;;5;2;;;1;;;
Arcen en Velden;G0885;10202;Limburg;P31;6086;5435;12;;5423;3310;957;730;247;1;68;53;2;7;14;1;7;1;9;2;3;;1;8;1;;1;;;0;;
Arnemuiden;G0649;11419;Zeeland;P29;2839;2496;14;;2482;745;488;266;71;580;7;6;10;269;5;7;;8;2;3;4;6;;;5;;;;;;;
Arnhem;G0202;10795;Gelderland;P25;97602;80697;227;;80470;21593;34037;13227;5546;191;1286;1517;496;393;476;306;496;129;164;110;276;74;19;;25;32;;;29;16;32;
Assen;G0106;10522;Drenthe;P22;35138;30725;88;;30637;6609;13442;5139;2048;43;604;348;1493;264;159;;98;122;38;39;55;72;18;;33;9;;4;;;;
Asten;G0743;10478;Noord-Brabant;P30;10363;9252;19;;9233;5731;1727;1025;389;2;110;81;2;13;27;9;14;6;16;14;25;3;;;;7;11;20;;1;;
Avereest;G0143;11190;Overijssel;P23;10159;9168;23;;9145;4336;2504;1382;333;50;61;37;152;191;10;12;12;26;11;8;8;1;;;8;1;;;;2;;
Axel;G0650;11289;Zeeland;P29;8907;7354;18;;7336;2689;2159;1160;326;98;46;53;646;51;21;17;1;23;14;8;8;4;4;;2;4;;2;;;;
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;4151;3683;7;;3676;2128;683;615;140;3;26;24;2;12;6;6;;2;8;7;6;1;;;;1;1;5;;0;;
Baarn;G0308;11411;Utrecht;P26;18554;16193;59;;16134;5153;4060;4608;1056;138;259;201;123;252;51;34;26;42;38;28;28;15;9;;4;;;;3;5;1;
Baexem;G0886;11255;Limburg;P31;1703;1552;5;;1547;1018;243;193;61;7;6;7;;1;3;1;2;;2;;;;;3;;;0;;;0;;
Baflo;G0004;10539;Groningen;P20;2079;1916;2;;1914;695;672;273;73;3;33;30;90;16;7;2;4;3;2;;2;1;3;;5;;;;;;;
Bakel en Milheeze;G0745;10749;Noord-Brabant;P30;5415;4625;11;;4614;3134;803;412;153;;40;28;;1;5;6;6;4;9;7;3;2;;;;;0;1;;0;;
Barendrecht;G0489;10943;Zuid-Holland;P28;13992;12659;25;;12634;4805;2532;2794;893;820;140;58;168;203;20;35;14;38;25;28;16;20;1;;10;11;;3;;;;
Barneveld;G0203;10906;Gelderland;P25;26898;24636;56;;24580;11587;2845;3810;711;3832;137;75;307;1043;27;49;8;55;24;24;16;13;2;;4;6;;;3;2;0;
Barsingerhorn;G0369;10973;Noord-Holland;P27;2893;2501;3;;2498;406;1180;683;118;3;21;24;;5;21;9;;;7;15;6;;;;;;;;;;;
Bathmen;G0144;11030;Overijssel;P23;3738;3503;4;;3499;1097;880;1165;246;1;46;23;15;2;1;7;1;5;2;5;2;;1;;;;;;;0;;
Bedum;G0005;10425;Groningen;P20;6976;6586;12;;6574;2689;1740;667;325;14;91;37;829;88;18;7;8;40;1;5;10;1;;;4;;;;;;;
Beegden;G0887;11089;Limburg;P31;1304;1157;0;;1157;606;343;123;53;;12;10;;;2;2;;1;;3;;;;2;;;0;;;0;;
Beek;G0888;11374;Limburg;P31;12264;10626;38;;10588;4922;3115;1572;558;5;125;57;5;19;31;31;10;8;17;9;16;;;60;1;2;24;1;;0;;
Beek en Donk;G0746;10173;Noord-Brabant;P30;6502;5617;10;;5607;2979;1616;532;212;10;63;46;1;4;67;6;23;8;17;3;7;2;1;;;1;5;2;;2;;
Beemster;G0370;10816;Noord-Holland;P27;5776;5233;14;;5219;1706;1427;1582;299;7;56;59;8;11;22;11;1;4;6;15;3;;1;;;1;;;;;;
Beers;G0747;11410;Noord-Brabant;P30;2175;2008;2;;2006;1285;381;196;80;3;18;20;1;1;5;4;1;;;3;7;;;;;1;0;;;0;;
Beerta;G0006;11043;Groningen;P20;2409;2189;18;;2171;105;1328;214;32;3;7;18;3;4;435;2;2;;;6;1;2;8;;;;;;1;;;
Beesel;G0889;10195;Limburg;P31;8781;7364;41;;7323;3885;2165;727;321;1;47;50;5;4;15;40;6;6;11;9;9;;;15;1;2;1;3;;0;;
Beilen;G0107;10520;Drenthe;P22;10150;9387;20;;9367;2923;3934;1559;396;21;97;42;207;50;31;;12;40;10;14;14;8;3;;;4;;2;;;;
Belfeld;G0890;10292;Limburg;P31;3604;3021;8;;3013;1671;801;307;147;;26;23;2;1;5;8;2;3;1;1;5;;;7;2;;0;1;;0;;
Bellingwedde;G0007;10340;Groningen;P20;7297;6552;18;;6534;914;4159;798;175;3;30;49;17;72;226;12;4;10;11;26;9;5;5;;2;5;;;2;;;
Bemmel;G0206;10744;Gelderland;P25;11301;9858;49;;9809;5019;2942;1109;485;10;81;59;5;14;18;7;7;9;12;20;4;3;;;;1;0;1;1;2;;
Bennebroek;G0372;10734;Noord-Holland;P27;4405;3999;24;;3975;1515;588;1423;241;14;75;35;21;15;13;3;1;15;9;3;4;;;;;;;;;;;
Benschop;G0309;11330;Utrecht;P26;2226;2086;3;;2083;1137;211;318;77;256;8;5;12;40;;4;1;4;2;2;1;3;1;;1;;;;;0;0;
Benthuizen;G0490;10398;Zuid-Holland;P28;2273;2089;5;;2084;622;354;464;123;389;18;16;15;64;2;4;4;1;2;1;1;;;3;1;;;;;;;
Bergambacht;G0491;10962;Zuid-Holland;P28;6301;5863;12;;5851;1535;1858;1263;277;673;42;28;26;73;14;8;3;7;15;13;6;5;1;3;;1;;;;;;
Bergen;G0373;11424;Noord-Holland;P27;10673;9507;31;;9476;2998;2265;2918;666;7;209;148;20;36;35;25;4;13;88;20;14;7;2;;;1;;;;;;
Bergen;G0893;11281;Limburg;P31;9496;8149;35;;8114;4671;2164;804;313;5;48;48;4;2;7;14;2;5;7;3;6;;;4;;2;4;;;1;;
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;33120;26948;110;;26838;9302;8404;6329;1667;32;275;250;45;52;47;147;53;45;17;24;52;41;17;;3;10;8;7;5;6;;
Bergeyk;G0749;11160;Noord-Brabant;P30;7018;6261;13;;6248;3833;1166;809;235;2;70;38;7;10;7;7;4;3;19;3;5;3;1;;;;23;2;;1;;
Bergh;G0207;10350;Gelderland;P25;13061;11379;46;;11333;5617;3760;1263;388;24;75;61;21;11;15;25;12;6;9;15;13;4;;;3;;4;2;3;2;;
Berghem;G0750;10733;Noord-Brabant;P30;3934;3521;9;;3512;1520;1354;287;150;;21;27;1;3;7;7;110;4;2;4;5;1;1;;;5;0;3;;0;;
Bergschenhoek;G0492;10445;Zuid-Holland;P28;5311;4701;11;;4690;2080;823;1138;242;62;50;26;109;66;7;27;3;12;14;4;10;8;1;8;;;;;;;;
Berkel en Rodenrijs;G0493;10139;Zuid-Holland;P28;10837;10037;23;;10014;4601;1423;2272;641;39;85;54;673;67;19;19;13;20;23;16;12;11;;20;4;2;;;;;;
Berkel-Enschot;G0751;11132;Noord-Brabant;P30;7251;6743;13;;6730;3387;1110;1544;430;6;91;58;8;3;18;7;5;12;11;19;9;7;2;;;;1;1;1;0;;
Berlicum;G0752;10362;Noord-Brabant;P30;6143;5489;13;;5476;2773;1574;716;229;2;61;27;4;3;5;3;25;6;15;7;15;4;;;1;;5;1;;0;;
Bernisse;G0568;10316;Zuid-Holland;P28;8928;7954;18;;7936;2545;2199;2098;642;128;67;35;25;43;31;26;28;14;8;22;10;12;1;;1;1;;;;;;
Best;G0753;10442;Noord-Brabant;P30;14506;12499;31;;12468;5640;3634;2026;693;9;108;82;41;24;35;50;21;9;17;29;23;5;3;;;9;6;3;;1;;
Beuningen;G0209;10417;Gelderland;P25;14270;12176;38;;12138;5242;3919;1565;856;5;187;143;19;14;30;11;54;12;32;19;6;7;;;;6;5;4;1;1;;
Beverwijk;G0375;10272;Noord-Holland;P27;26429;22398;67;;22331;7631;8507;3293;1395;34;248;332;72;104;291;92;32;44;81;40;47;45;11;;6;17;;9;;;;
Bierum;G0008;11294;Groningen;P20;3123;2840;14;;2826;1229;940;353;135;3;34;13;39;30;10;1;2;22;1;5;2;1;;;4;1;;;1;;;
Binnenmaas;G0585;10222;Zuid-Holland;P28;13378;12025;23;;12002;3613;3563;2888;757;676;84;74;50;110;20;23;9;36;23;43;13;12;;;6;;;2;;;;
Bladel en Netersel;G0754;11006;Noord-Brabant;P30;6916;5782;19;;5763;3262;1313;707;261;1;61;76;5;4;15;7;1;6;7;7;6;3;1;;;2;11;5;;2;;
Blaricum;G0376;10493;Noord-Holland;P27;7920;7149;13;;7136;2170;1414;2633;575;16;91;82;24;24;19;13;5;12;22;12;7;7;4;;;3;;3;;;;
Bleiswijk;G0495;10994;Zuid-Holland;P28;5865;5353;4;;5349;2267;857;1430;362;150;51;16;43;101;15;10;6;8;3;18;7;;;4;1;;;;;;;
Bloemendaal;G0377;10850;Noord-Holland;P27;13729;12430;44;;12386;3795;1875;5297;780;26;180;126;56;51;33;30;10;33;50;11;16;4;4;;5;2;;2;;;;
Boarnsterhim;G0055;10815;Fryslân;P21;12789;11901;18;;11883;2450;5861;2285;774;49;128;110;35;47;31;10;15;28;7;11;24;5;5;;5;1;;2;;;;
Bodegraven;G0497;11091;Zuid-Holland;P28;12141;10877;24;;10853;4788;2144;2119;601;476;129;65;125;225;29;27;9;40;12;22;16;4;2;11;9;;;;;;;
Boekel;G0755;10432;Noord-Brabant;P30;6112;5426;18;;5408;3330;1166;545;203;3;39;44;2;3;12;8;15;6;4;4;10;2;;;;4;5;1;;2;;
Bolsward;G0064;10865;Fryslân;P21;7197;6467;18;;6449;2860;2161;719;348;23;113;43;37;43;16;9;11;24;9;4;13;1;1;;9;4;;1;;;;
Borculo;G0211;11307;Gelderland;P25;7274;6701;30;;6671;2060;2506;1566;329;4;56;29;23;26;9;10;5;12;5;10;9;2;;;1;1;2;3;2;1;;
Borger;G0108;10448;Drenthe;P22;9317;8770;37;;8733;1894;4542;1455;406;3;94;43;91;75;34;;5;23;12;15;12;14;4;;5;;;6;;;;
Born;G0897;10927;Limburg;P31;9998;8862;34;;8828;4525;2661;908;386;3;80;64;5;15;19;33;5;6;15;9;18;;6;41;1;;25;2;;1;;
Borne;G0147;10326;Overijssel;P23;14315;13106;13;;13093;6008;3703;2112;726;21;174;125;44;57;17;5;25;25;7;11;13;6;;;7;6;;;;1;;
Borsele;G0654;10043;Zeeland;P29;14206;12682;40;;12642;5468;2703;1966;595;1314;134;70;110;114;19;22;4;43;16;22;22;9;2;;4;2;;3;;;;
Boskoop;G0499;10419;Zuid-Holland;P28;10173;9156;17;;9139;3709;1665;2182;553;329;184;137;60;172;30;27;8;23;9;15;9;7;;8;8;4;;;;;;
Boxmeer;G0756;11227;Noord-Brabant;P30;10156;9253;22;;9231;4660;2746;1016;430;2;110;84;3;15;19;11;63;24;16;4;17;2;;;;5;2;;;2;;
Boxtel;G0757;10083;Noord-Brabant;P30;17388;14825;63;;14762;6412;4792;1747;800;4;135;152;24;4;41;23;506;18;28;20;25;8;;;4;8;6;2;2;1;;
Brakel;G0212;11125;Gelderland;P25;4489;3959;35;;3924;1280;1068;320;116;941;13;12;22;119;5;3;;10;1;4;2;1;;;6;;1;;;0;;
Breda;G0758;10154;Noord-Brabant;P30;92115;74366;284;;74082;24347;26561;13246;5713;94;971;1221;141;184;397;343;145;88;134;141;104;112;20;;5;32;27;18;17;21;;
Brederwiede;G0194;11088;Overijssel;P23;8642;8042;27;;8015;3162;2473;1077;354;57;59;34;600;114;15;2;4;34;4;7;4;5;1;;7;1;;;;1;;
Breukelen;G0311;10807;Utrecht;P26;7836;7080;22;;7058;2444;1194;2104;547;329;121;62;51;119;15;16;3;19;10;10;4;6;;;2;;;;1;0;1;
Briefstemmen;G9999;;Niet-provinciaal ingedeeld;P99;39856;29818;352;;29466;8559;4670;11657;1559;429;276;361;382;284;109;170;50;113;542;25;23;103;12;11;48;24;6;23;13;1;13;3
Brielle;G0501;10232;Zuid-Holland;P28;11198;9904;29;;9875;2485;3092;2841;876;62;90;87;30;62;37;37;27;15;17;65;18;26;1;;3;3;;1;;;;
Broek in Waterland;G0380;10289;Noord-Holland;P27;2067;1853;5;;1848;484;567;505;159;6;34;35;1;7;17;8;;2;10;3;2;6;1;;;1;;;;;;
Broekhuizen;G0898;10856;Limburg;P31;1290;1161;2;;1159;719;209;153;38;;7;17;;2;;1;2;;1;3;5;;;1;;1;0;;;0;;
Brouwershaven;G0656;10030;Zeeland;P29;2760;2496;8;;2488;516;945;657;132;64;20;17;79;28;6;1;1;10;5;2;5;;;;;;;;;;;
Bruinisse;G0657;11291;Zeeland;P29;2316;2114;4;;2110;642;535;401;65;360;11;7;14;46;3;2;;6;2;6;5;1;;;;3;;1;;;;
Brummen;G0213;10798;Gelderland;P25;14734;13332;26;;13306;3671;5886;2450;774;30;136;96;31;59;41;12;9;30;30;12;17;4;1;;;2;;;10;1;4;
Brunssum;G0899;10533;Limburg;P31;22970;19056;89;;18967;7235;8524;1446;820;12;179;83;103;50;76;85;112;16;44;23;18;;19;55;5;7;50;2;;3;;
Budel;G0759;10219;Noord-Brabant;P30;8381;6952;17;;6935;3808;1933;765;257;1;45;27;2;16;5;7;9;10;1;11;13;3;;;2;2;9;4;;5;;
Bunnik;G0312;10820;Utrecht;P26;9786;9015;17;;8998;3723;1660;2258;696;123;227;99;40;40;22;25;14;32;15;3;8;5;1;;2;1;;;1;1;2;
Bunschoten;G0313;11343;Utrecht;P26;11511;10845;19;;10826;5023;713;1050;250;288;29;31;2817;562;10;15;1;15;1;6;;9;;;3;;;;1;1;1;
Buren;G0214;11286;Gelderland;P25;6807;6155;21;;6134;1596;2234;1544;339;157;61;46;17;46;10;16;12;5;11;9;15;8;;;1;;2;2;2;1;;
Bussum;G0381;10281;Noord-Holland;P27;25845;22223;14;;22209;6492;5250;7067;1650;192;220;583;166;146;93;47;19;55;72;46;31;20;15;;27;14;;4;;;;
Callantsoog;G0382;10559;Noord-Holland;P27;1899;1771;8;;1763;478;554;549;98;3;17;14;;4;3;6;;1;6;11;9;1;8;;1;;;;;;;
Capelle aan den IJssel;G0502;11248;Zuid-Holland;P28;40574;33990;77;;33913;7101;12210;7331;2975;1874;235;323;654;311;124;232;86;75;61;100;53;83;13;41;11;20;;;;;;
Castricum;G0383;11287;Noord-Holland;P27;17159;15336;33;;15303;5642;3655;3820;1274;14;386;178;37;33;64;28;11;27;57;19;27;13;7;;6;3;;2;;;;
Centraal Persoonsregister;G9998;;Niet-provinciaal ingedeeld;P99;1080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chaam;G0760;11433;Noord-Brabant;P30;2694;2523;5;;2518;1429;461;437;136;;18;10;1;;2;5;;5;2;2;4;1;;;1;;2;2;;0;;
Coevorden;G0109;10383;Drenthe;P22;10492;9452;21;;9431;3498;3993;1224;366;7;56;78;40;78;17;;10;16;9;9;9;8;2;;4;4;;3;;;;
Cothen;G0314;11316;Utrecht;P26;1694;1563;3;;1560;933;233;255;75;29;6;5;3;10;3;2;;;2;;4;;;;;;;;;0;0;
Cromstrijen;G0611;11346;Zuid-Holland;P28;8509;7529;15;;7514;1956;2729;1578;473;439;61;51;24;83;35;19;6;10;8;24;8;3;2;;2;1;;2;;;;
Cuijk en Sint Agatha;G0761;10023;Noord-Brabant;P30;11748;9984;23;;9961;4124;3547;1227;598;1;130;125;15;7;41;44;31;5;17;17;12;7;3;;;2;4;3;;1;;
Culemborg;G0216;10342;Gelderland;P25;14233;12305;2;;12303;3817;4318;2262;839;185;174;188;31;68;78;49;139;37;24;25;10;19;6;;5;4;14;3;8;0;;
Dalen;G0110;11004;Drenthe;P22;4106;3943;13;;3930;947;1560;1115;196;8;27;15;11;18;5;;4;2;3;6;5;7;;;1;;;;;;;
Dalfsen;G0148;11007;Overijssel;P23;10579;9885;29;;9856;5728;1464;1283;368;43;53;23;721;85;5;3;6;41;8;11;7;2;;;3;2;;;;0;;
Dantumadeel;G0065;10650;Fryslân;P21;13343;12069;36;;12033;4891;4032;929;421;698;99;62;261;455;25;15;11;71;5;6;8;2;2;;31;6;;3;;;;
De Bilt;G0310;10168;Utrecht;P26;24230;22253;58;;22195;6447;4958;7109;1900;299;352;166;323;162;93;53;39;118;66;34;28;28;1;;3;2;;;5;3;6;
De Lier;G0552;10241;Zuid-Holland;P28;6675;6135;5;;6130;3688;615;1263;258;41;24;14;125;19;10;13;3;30;5;7;5;6;;;1;2;;1;;;;
De Wijk;G0135;10753;Drenthe;P22;3499;3223;5;;3218;879;1102;939;178;3;17;20;29;9;7;;1;6;6;6;2;6;4;;1;2;;1;;;;
Delft;G0503;10928;Zuid-Holland;P28;67574;57542;90;;57452;15890;20756;9930;5042;583;1191;1282;405;339;880;217;117;226;149;85;133;121;27;;35;22;;22;;;;
Delfzijl;G0010;10976;Groningen;P20;17773;14756;36;;14720;3176;7531;1961;895;15;132;103;265;195;151;42;56;87;13;35;16;20;3;;5;7;;7;5;;;
Den Dungen;G0768;10491;Noord-Brabant;P30;3066;2781;4;;2777;1585;786;231;96;;24;11;2;2;8;4;11;4;;;5;3;;;;2;2;;;1;;
Den Ham;G0159;10395;Overijssel;P23;10103;9271;23;;9248;4983;2563;599;194;62;41;26;389;311;5;1;1;37;5;12;3;1;;;11;4;;;;0;;
Den Helder;G0400;10285;Noord-Holland;P27;47049;37372;103;;37269;10799;11467;9729;3001;167;280;328;421;418;139;163;28;62;47;73;45;53;13;;11;16;;9;;;;
Denekamp;G0149;10245;Overijssel;P23;8840;8345;25;;8320;5766;1454;724;233;2;44;20;7;26;4;9;7;6;3;;5;6;;;;1;;;;3;;
Deurne;G0762;10379;Noord-Brabant;P30;20651;17806;57;;17749;10152;4367;1894;709;13;165;132;17;11;55;34;26;18;23;26;36;17;5;;1;16;7;21;;4;;
Deventer;G0150;10899;Overijssel;P23;47686;41248;111;;41137;9842;19828;5700;2806;75;945;573;202;234;392;106;45;99;74;42;58;34;21;;13;42;;;;6;;
Didam;G0218;10153;Gelderland;P25;11488;10234;32;;10202;5249;3321;921;474;5;67;40;10;5;16;24;8;8;14;10;14;2;1;;;9;1;1;1;1;;
Diemen;G0384;11039;Noord-Holland;P27;12992;10979;34;;10945;2531;3716;2650;1083;13;165;220;47;40;148;131;24;18;35;40;11;55;9;;3;3;;3;;;;
Diepenheim;G0151;10311;Overijssel;P23;2007;1902;1;;1901;502;721;515;107;6;9;8;3;4;3;2;4;2;4;4;4;;2;;;1;;;;0;;
Diepenveen;G0152;10933;Overijssel;P23;7948;7398;16;;7382;3432;1679;1590;448;9;88;28;17;23;16;7;3;17;11;4;7;1;;;1;1;;;;0;;
Diessen;G0763;11185;Noord-Brabant;P30;2653;2438;11;;2427;1668;361;255;73;;30;10;2;3;4;3;1;2;2;3;7;1;;;;2;0;;;0;;
Diever;G0111;10418;Drenthe;P22;2599;2541;4;;2537;663;1002;622;117;1;35;29;31;6;5;;2;8;2;5;1;5;1;;2;;;;;;;
Dinteloord en Prinsenland;G0764;11193;Noord-Brabant;P30;4134;3644;7;;3637;1278;1249;566;137;240;17;22;9;83;3;11;;4;4;6;4;;2;;1;;0;;1;0;;
Dinxperlo;G0219;11154;Gelderland;P25;5567;4767;31;;4736;2594;1323;521;148;3;32;20;9;55;7;3;1;9;2;;2;2;;;1;2;0;;2;0;;
Dirksland;G0504;11344;Zuid-Holland;P28;5219;4605;23;;4582;1222;1235;584;151;1151;24;13;34;109;13;10;3;8;2;7;2;;;;7;4;;3;;;;
Dodewaard;G0220;10647;Gelderland;P25;2849;2599;7;;2592;821;990;318;75;266;15;16;10;59;3;5;1;2;1;2;4;1;;;3;;0;;;0;;
Doesburg;G0221;10327;Gelderland;P25;7500;6642;26;;6616;2037;3006;910;313;16;58;39;46;20;15;10;92;14;7;6;11;2;;;;4;6;;2;2;;
Doetinchem;G0222;10396;Gelderland;P25;29727;25908;90;;25818;8646;10126;4170;1454;203;377;294;74;137;44;52;31;69;37;20;42;15;1;;2;2;3;1;3;15;;
Domburg;G0660;10236;Zeeland;P29;2931;2918;6;;2912;1002;605;712;145;269;24;25;29;57;4;1;1;12;6;3;7;6;;;2;1;;1;;;;
Dongen;G0766;11412;Noord-Brabant;P30;14908;12723;6;;12717;5077;3468;2249;971;19;99;226;16;28;32;21;361;16;14;15;4;7;3;;5;10;66;2;8;0;;
Dongeradeel;G0058;10198;Fryslân;P21;17608;15958;40;;15918;8937;3758;1365;524;144;146;49;345;383;44;5;13;115;10;12;27;7;1;;26;5;;2;;;;
