RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);VVD;Democraten 66 (D66);Staatkundig Gereformeerde Partij (SGP);Politieke Partij Radikalen (PPR);Pacifistisch-Socialistische Partij (PSP);Gereformeerd Politiek Verbond (GPV);Reformatorische Politieke Federatie (RPF);Communistische Partij van Nederland;CP;SP (Socialistische Partij);Evangelische Volkspartij;Federatie Groenen;Partij voor de Middengroepen;Loesje;Centrumdemocraten;VCN: partij van communisten in Nederland;Partij voor Ambtenaren en Trendvolgers;Anti Revolutionairen '85;Socialistische Arbeiderspartij;God Met Ons;Partij Algemeen Belang;Partij Geluk voor Iedereen;Lijst Wissink;Humanistische Partij;Lijst Brummer
Maarn;G0332;10392;Utrecht;P26;4308;4065;15;;4050;1281;728;1404;311;174;41;23;22;13;11;8;1;5;16;2;3;4;2;;;1;;;;0;0;
Maarssen;G0333;10191;Utrecht;P26;24530;21479;84;;21395;6828;5908;5379;1921;187;216;276;106;190;85;53;49;51;25;47;19;24;7;;2;4;;;11;3;4;
Maartensdijk;G0334;10691;Utrecht;P26;6729;6129;19;;6110;2013;1127;1524;464;577;64;48;46;138;16;18;5;17;14;17;3;8;1;;3;;;;2;0;5;
Maasbracht;G0933;10964;Limburg;P31;6043;5043;29;;5014;2633;1392;637;180;1;33;25;7;25;5;15;;13;11;7;6;;;7;3;;12;1;;1;;
Maasbree;G0934;11352;Limburg;P31;8049;7000;16;;6984;4380;1054;985;346;4;83;57;1;2;9;15;4;1;9;7;13;;;9;;2;0;3;;0;;
Maasdriel;G0263;10341;Gelderland;P25;6112;5431;24;;5407;3070;1240;754;166;12;34;18;8;17;4;9;40;16;7;4;2;3;;;;1;0;;1;1;;
Maasland;G0555;10393;Zuid-Holland;P28;4366;4106;9;;4097;2339;406;908;206;36;48;8;36;56;5;9;1;14;8;5;6;3;;;2;;;1;;;;
Maassluis;G0556;10880;Zuid-Holland;P28;22855;19461;55;;19406;6577;5983;3812;1521;182;197;139;175;322;57;111;96;65;38;43;33;35;6;;;7;;7;;;;
Maastricht;G0935;10182;Limburg;P31;89728;70899;293;;70606;23674;32162;7711;3452;30;821;764;96;82;436;242;191;68;182;109;59;;9;344;13;18;127;9;;7;;
Made en Drimmelen;G0812;10258;Noord-Brabant;P30;8756;7706;23;;7683;3432;2568;976;514;12;59;41;3;6;5;17;5;3;12;8;5;5;;;;4;6;;2;0;;
Margraten;G0936;11243;Limburg;P31;9827;8871;31;;8840;4721;2186;1226;361;3;65;72;10;10;26;14;2;5;27;17;7;;;55;3;3;27;;;0;;
