RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Partij van de Arbeid (P.v.d.A.);SP (Socialistische Partij);VVD;PVV (Partij voor de Vrijheid);GL;ChristenUnie;Democraten 66 (D66);Partij voor de Dieren;Staatkundig Gereformeerde Partij (SGP);ETnNL;Fortuyn;Verenigde Senioren Partij;Ad Bos Collectief;Partij voor Nederland;Lijst Potmis;Nederland Transparant;Groen Vrij Internet Partij;Liberaal Democratische Partij;Lijst Poortman;Continue Directe Democratie Partij;LRVP - het Zeteltje;Solide Multiculturele Partij;Tamara's Open Partij
Meerssen;G0938;10494;Limburg;P31;15370;12737;;14;12723;3946;2370;2380;1587;1339;491;152;127;206;8;44;16;34;6;8;;5;;;4;;;;
Meijel;G0941;10925;Limburg;P31;4541;3595;;7;3588;1579;484;473;428;429;65;22;29;52;1;9;4;6;1;2;;1;;;3;;;;
Menaldumadeel;G0083;11144;Fryslân;P21;10407;8914;;13;8901;2527;2560;1498;1003;304;347;418;85;87;17;23;17;2;5;2;;2;1;;3;;;;
Menterwolde;G1987;11282;Groningen;P20;9736;7944;;11;7933;953;3149;1733;826;343;374;313;59;111;15;24;16;6;3;4;;4;;0;0;;;;
Meppel;G0119;11204;Drenthe;P22;23690;19662;;19;19643;4540;5490;3174;2943;762;832;1228;265;251;47;62;19;;;18;;1;;4;7;;;;
Middelburg;G0687;10122;Zeeland;P29;35443;29322;;35;29287;6967;5856;4831;3203;1305;1496;2169;495;616;2055;121;55;39;;21;;50;;;8;;;;
Middelharnis;G0559;11067;Zuid-Holland;P28;13610;11292;;10;11282;2788;1795;1471;1450;643;232;1048;66;113;1534;86;26;7;8;6;2;4;;1;2;0;;;
Midden-Delfland;G1842;10130;Zuid-Holland;P28;12789;11404;;14;11390;5218;1240;913;1988;616;390;472;199;133;43;112;36;10;4;5;1;3;;3;2;2;;;
Midden-Drenthe;G1731;10520;Drenthe;P22;25707;21937;;25;21912;5740;6390;3170;3332;799;752;986;238;292;75;70;36;;;14;;10;;6;2;;;;
Mill en Sint Hubert;G0815;10535;Noord-Brabant;P30;8453;7153;;8;7145;3165;1051;1475;787;373;103;47;41;51;4;20;13;4;;7;;3;;0;1;0;;;
Millingen aan de Rijn;G0265;10072;Gelderland;P25;4417;3619;;1;3618;953;985;865;412;170;94;30;37;50;1;5;3;2;4;2;;1;;2;2;0;;;
Moerdijk;G1709;10046;Noord-Brabant;P30;28289;22249;;20;22229;6928;3625;4388;3458;1496;549;755;226;410;94;177;54;27;9;;2;6;10;7;5;3;;;
Montferland;G1955;10350;Gelderland;P25;26906;21419;;13;21406;7958;4578;3954;2494;1021;517;202;190;286;16;74;46;9;14;9;7;5;13;3;10;;;;
Montfoort;G0335;10033;Utrecht;P26;9834;8608;;5;8603;3278;1076;836;1386;500;318;572;113;103;343;32;26;5;7;4;1;0;;2;1;0;;;
Mook en Middelaar;G0944;10271;Limburg;P31;6061;5235;;10;5225;1706;997;896;826;207;275;61;116;103;5;22;2;3;6;0;;0;;;0;;;;
Moordrecht;G0563;10120;Zuid-Holland;P28;5812;4728;;12;4716;1311;909;542;812;355;138;248;55;76;195;53;10;;1;3;1;4;;0;3;0;;;
Muiden;G0424;10958;Noord-Holland;P27;4922;4295;;8;4287;1015;926;448;1015;206;252;66;160;146;6;22;9;4;1;0;;0;1;3;6;0;;;1
Naarden;G0425;10187;Noord-Holland;P27;12412;10878;;15;10863;2802;1646;1070;3287;373;638;248;352;270;54;59;37;7;3;2;;0;5;4;4;0;;;2
Neder-Betuwe;G1740;10916;Gelderland;P25;15733;13557;;12;13545;3336;2694;1099;1351;617;186;741;83;152;3219;29;17;9;3;2;;4;;1;1;1;;;
Nederlek;G0643;10050;Zuid-Holland;P28;11128;9747;;10;9737;2340;2081;1262;1628;719;257;430;124;180;535;145;28;;4;1;0;0;;3;0;0;;;
Nederweert;G0946;10681;Limburg;P31;12713;10071;;8;10063;4018;1500;1701;1374;939;197;65;76;83;3;41;31;21;6;6;;1;;;1;;;;
Neerijnen;G0304;10125;Gelderland;P25;8772;7426;;17;7409;2157;1450;750;1187;421;167;257;79;108;786;30;7;6;1;2;;0;;1;0;0;;;
Niedorp;G0412;10923;Noord-Holland;P27;8859;7146;;7;7139;1908;1463;1201;1427;425;291;75;112;147;4;47;19;3;3;2;;4;1;3;3;1;;;
Nieuwegein;G0356;10374;Utrecht;P26;47307;37812;;54;37758;9218;8308;6839;5813;2733;1565;1239;634;705;172;213;77;177;22;14;12;4;;6;4;3;;;
Nieuwerkerk aan den IJssel;G0567;10855;Zuid-Holland;P28;16228;13839;;19;13820;3767;1971;1674;2884;1040;388;968;224;248;412;176;34;;10;10;2;3;;7;1;1;;;
Nieuwkoop;G0569;10728;Zuid-Holland;P28;8304;6775;;9;6766;2550;837;722;1352;413;235;257;128;107;102;35;11;;6;3;1;0;;0;3;4;;;
Nieuw-Lekkerland;G0571;10547;Zuid-Holland;P28;6545;5853;;4;5849;1259;927;566;406;270;76;920;30;77;1249;42;17;5;1;3;1;0;;0;0;0;;;
Nijefurd;G0104;10768;Fryslân;P21;8351;7272;;12;7260;2726;1392;1071;827;256;328;419;73;93;11;30;14;2;5;5;;2;6;;0;;;;
Nijkerk;G0267;10446;Gelderland;P25;28890;24630;;17;24613;9703;3166;2096;3318;1192;604;2414;295;276;1323;104;45;25;6;10;18;2;7;5;4;;;;
Nijmegen;G0268;11209;Gelderland;P25;124663;98678;;155;98523;17961;24483;24951;9873;3649;10212;1589;3157;1818;51;321;131;170;71;28;;16;;17;18;7;;;
Noord-Beveland;G1695;10250;Zeeland;P29;5714;4675;;3;4672;1457;771;687;776;283;125;188;42;113;183;26;6;6;;4;;1;;;4;;;;
Noordenveld;G1699;10699;Drenthe;P22;24482;20712;;27;20685;3862;6455;3121;3607;821;1033;907;336;344;50;77;45;;;9;;6;;10;2;;;;
Noorder-Koggenland;G0529;10924;Noord-Holland;P27;7927;6616;;7;6609;1704;1070;1071;1446;389;291;238;74;159;71;47;13;8;9;7;;2;9;0;1;0;;;
Noordoostpolder;G0171;10144;Flevoland;P24;32662;27531;;20;27511;10154;4433;3247;3676;1124;702;2617;292;380;586;93;61;25;19;72;;4;12;6;7;1;;;
Noordwijk;G0575;10769;Zuid-Holland;P28;18776;15539;;23;15516;5084;2219;1839;3726;899;597;396;228;303;37;117;35;;4;8;4;9;;6;3;2;;;
Noordwijkerhout;G0576;11134;Zuid-Holland;P28;11252;9547;;16;9531;3620;1248;1133;2132;552;348;130;128;151;5;45;23;;8;2;0;1;;3;2;0;;;
Nuenen, Gerwen en Nederwetten;G0820;10761;Noord-Brabant;P30;17203;14792;;21;14771;5254;2276;2374;2691;747;566;240;271;201;9;88;20;17;;2;;3;;10;1;1;;;
Nunspeet;G0302;10512;Gelderland;P25;19568;17097;;7;17090;5884;1291;1103;1760;658;240;2436;113;173;3321;56;24;15;4;3;0;2;5;2;0;;;;
Nuth;G0951;10104;Limburg;P31;12654;10549;;11;10538;3210;2187;1851;1182;1188;401;130;81;197;4;40;21;25;13;5;;0;;;3;;;;
Obdam;G0429;11338;Noord-Holland;P27;5130;4412;;2;4410;1815;593;579;761;252;165;56;57;69;5;30;10;6;2;3;;1;0;3;3;0;;;
Oegstgeest;G0579;10287;Zuid-Holland;P28;15857;14003;;16;13987;3561;2414;1448;3499;509;971;508;539;338;41;106;20;;5;3;4;2;;16;1;2;;;
