RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);VVD;Anti-Revolutionaire Partij;Politieke Partij Radikalen (PPR);Christelijk-Historische Unie;Communistische Partij van Nederland;Democraten 66 (D66);Democratisch Socialisten '70;Staatkundig Gereformeerde Partij (SGP);Boeren Partij;Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Rooms Katholieke Partij Nederland (RKPN);Democratische Middenpartij;Nederlandse Middenstands Partij;Lijst ir. W. Stam;Partij van het Recht;Anti-Woningnood Aktie;Nieuwe Roomse Partij
Kloosterburen;G0021;10628;Groningen;P20;1236;1128;0;5;1123;241;411;116;195;37;3;20;17;21;1;7;10;13;23;3;5;;;;
Klundert;G0804;10656;Noord-Brabant;P30;3643;3093;14;24;3055;465;606;298;850;57;380;28;67;27;119;31;78;8;20;10;11;;;;
Kockengen;G0324;10765;Utrecht;P26;1606;1459;17;0;1442;102;325;141;297;64;146;7;29;44;186;38;32;10;8;2;11;;;;
Kollumerland en Nieuwkruisland;G0079;10984;Fryslân;P21;7234;6294;46;11;6237;1005;30;398;2627;112;1151;86;63;109;164;147;287;26;1;11;20;;;;
Koog aan de Zaan;G0411;10776;Noord-Holland;P27;4277;3807;23;6;3778;1214;215;520;238;176;53;819;135;149;27;34;39;98;10;22;23;6;;;
Kortgene;G0682;10250;Zeeland;P29;2376;2076;4;3;2069;759;12;327;254;43;338;11;42;62;137;23;22;7;;15;17;;;;
Koudekerk aan den Rijn;G0540;10029;Zuid-Holland;P28;2440;2099;3;12;2084;328;213;445;404;81;264;35;84;110;36;24;36;6;4;8;5;;1;;
Krimpen aan de Lek;G0541;10617;Zuid-Holland;P28;3839;3390;1;12;3377;1451;53;528;397;85;103;69;243;95;238;22;35;39;;9;8;;2;;
Krimpen aan den IJssel;G0542;10859;Zuid-Holland;P28;13405;11550;26;44;11480;3727;396;1916;986;415;545;351;711;496;1433;45;252;101;16;29;56;;5;;
Krommenie;G0413;10373;Noord-Holland;P27;9606;8516;55;9;8452;2143;1008;1073;588;664;120;1403;453;372;28;72;152;222;54;49;31;20;;;
Kuinre;G0167;11148;Overijssel;P23;560;472;1;0;471;163;42;50;35;8;83;5;9;29;;14;13;2;;8;10;;;;
Landsmeer;G0415;11225;Noord-Holland;P27;5405;4815;29;5;4781;1585;195;832;321;270;121;603;310;238;10;38;59;120;12;31;33;3;;;
Langbroek;G0325;11413;Utrecht;P26;1208;1073;5;3;1065;175;142;124;163;18;147;11;17;39;174;27;17;4;2;;5;;;;
Langedijk;G0416;10955;Noord-Holland;P27;6684;5722;16;36;5670;1169;1320;842;726;286;202;282;214;171;26;56;126;107;76;26;31;10;;;
Langerak;G0543;11127;Zuid-Holland;P28;760;672;2;10;660;145;2;53;207;8;30;3;7;20;120;15;46;2;;2;;;;;
Laren;G0417;10649;Noord-Holland;P27;9726;8309;7;25;8277;1232;1507;2508;356;587;145;214;374;710;30;94;61;182;186;47;36;8;;;
Leek;G0022;10604;Groningen;P20;8358;7349;22;14;7313;2485;72;883;1643;169;379;153;255;199;47;310;518;110;4;41;45;;;;
Leende;G0805;11017;Noord-Brabant;P30;2282;2005;11;8;1986;165;1093;357;63;42;6;7;55;76;1;46;14;16;26;5;14;;;;
Leens;G0023;11050;Groningen;P20;2295;2022;9;0;2013;590;157;230;405;28;33;57;28;59;8;17;345;11;19;14;12;;;;
Leerbroek;G0544;10465;Zuid-Holland;P28;705;617;7;0;610;49;2;38;147;6;57;3;7;7;232;32;23;;;4;3;;;;
Leerdam;G0545;10685;Zuid-Holland;P28;8650;7481;13;55;7413;2726;220;804;1207;169;570;198;214;148;669;101;293;53;8;20;13;;;;
Leersum;G0326;11142;Utrecht;P26;3852;3313;12;25;3276;666;90;776;428;101;329;20;92;228;291;76;89;27;6;37;20;;;;
Leeuwarden;G0080;11228;Fryslân;P21;59922;52068;230;113;51725;20687;2675;5704;7890;2269;2888;1802;2058;2409;250;425;1208;801;249;257;153;;;;
Leeuwarderadeel;G0081;10851;Fryslân;P21;4271;3851;7;17;3827;1542;50;456;889;102;187;80;132;177;16;50;63;34;8;24;17;;;;
Leiden;G0546;10702;Zuid-Holland;P28;70248;59821;114;412;59295;20213;5683;8426;3705;4000;2535;3800;2785;3821;502;539;699;1460;652;296;143;;36;;
Leiderdorp;G0547;10058;Zuid-Holland;P28;10763;9558;22;11;9525;1691;829;2431;1284;617;503;165;525;871;121;62;162;149;65;33;16;;1;;
Leidschendam;G0548;10742;Zuid-Holland;P28;19096;16802;69;29;16704;2780;3991;3787;1174;945;616;230;945;1227;72;184;173;217;194;88;43;;38;;
Leimuiden;G0549;11351;Zuid-Holland;P28;2491;2130;12;2;2116;245;657;327;307;71;160;43;96;88;12;42;11;14;18;9;15;;1;;
Lekkerkerk;G0550;10050;Zuid-Holland;P28;4482;3960;26;0;3934;1487;46;909;397;86;73;73;204;143;358;43;46;39;6;15;8;;1;;
Lemsterland;G0082;10142;Fryslân;P21;5990;5090;21;21;5048;1518;210;367;968;119;753;434;141;144;94;88;84;33;19;52;24;;;;
Leusden;G0327;10978;Utrecht;P26;7841;7156;25;18;7113;865;1545;1683;585;337;480;49;336;431;251;90;232;63;144;14;8;;;;
Lexmond;G0551;10930;Zuid-Holland;P28;1399;1268;0;12;1256;272;11;120;318;10;198;10;13;32;209;21;34;2;1;3;2;;;;
Lichtenvoorde;G0260;10242;Gelderland;P25;9012;7878;16;15;7847;752;4790;632;267;285;240;32;152;107;3;199;11;83;189;49;56;;;;
Liempde;G0806;10390;Noord-Brabant;P30;2239;1942;14;4;1924;295;1049;177;41;67;6;10;65;29;;93;2;11;66;4;9;;;;
Lienden;G0261;11093;Gelderland;P25;3827;3310;7;9;3294;1491;46;391;282;28;293;17;61;65;295;221;26;16;3;17;42;;;;
Lieshout;G0807;10637;Noord-Brabant;P30;3140;2632;23;4;2605;395;1405;275;55;59;9;49;90;48;2;106;3;42;47;9;11;;;;
Limbricht;G0931;11124;Limburg;P31;2772;2219;14;17;2188;307;1231;231;38;101;3;26;81;41;;66;1;12;24;8;18;;;;
Limmen;G0418;11370;Noord-Holland;P27;2747;2418;10;3;2405;261;1051;292;51;166;11;100;88;78;1;179;8;34;58;7;10;10;;;
Linne;G0932;10990;Limburg;P31;2303;1846;14;20;1812;327;829;235;47;68;6;28;42;26;2;49;2;23;29;79;20;;;;
Linschoten;G0328;11324;Utrecht;P26;3014;2656;34;0;2622;272;624;341;381;116;219;27;85;121;262;59;50;28;18;7;12;;;;
Lisse;G0553;10197;Zuid-Holland;P28;11290;9960;17;40;9903;1253;2935;1849;748;478;588;130;324;424;574;105;170;103;137;55;22;;8;;
Lith;G0808;11219;Noord-Brabant;P30;3080;2368;22;8;2338;301;1317;175;105;46;15;24;75;30;2;145;4;12;53;10;24;;;;
Lochem;G0262;11263;Gelderland;P25;11637;9947;34;26;9887;3049;452;2327;1126;257;872;149;360;416;9;325;75;159;34;218;59;;;;
Loenen;G0329;11202;Utrecht;P26;4401;3895;39;6;3850;642;401;945;467;212;361;81;156;216;143;43;92;42;16;20;13;;;;
Loon op Zand;G0809;11259;Noord-Brabant;P30;11077;9286;63;46;9177;1299;4617;1112;232;343;72;140;237;172;114;501;23;89;139;31;56;;;;
Loosdrecht;G0330;10639;Utrecht;P26;5399;4727;20;19;4688;704;209;1414;660;230;404;105;195;310;102;84;130;68;10;40;23;;;;
Lopik;G0331;10333;Utrecht;P26;3816;3354;21;17;3316;652;532;339;564;76;355;38;82;80;385;68;75;17;21;15;17;;;;
Loppersum;G0024;10934;Groningen;P20;2300;2050;14;2;2034;580;15;236;672;54;89;37;33;66;6;34;152;36;6;6;12;;;;
Losser;G0168;11166;Overijssel;P23;12688;10528;36;25;10467;1580;4809;734;238;926;442;480;235;197;10;427;34;79;162;77;37;;;;
Luyksgestel;G0810;10011;Noord-Brabant;P30;1403;1103;6;1;1096;171;597;103;32;29;4;5;40;22;1;55;;6;15;1;15;;;;
Maarheeze;G0811;11143;Noord-Brabant;P30;3955;3258;18;11;3229;421;1820;361;96;76;12;49;88;83;;118;5;35;42;3;20;;;;
Maarn;G0332;10392;Utrecht;P26;3286;2932;11;21;2900;490;178;718;293;115;305;27;161;259;152;65;73;46;8;2;8;;;;
Maarssen;G0333;10191;Utrecht;P26;9592;8138;41;40;8057;1975;1098;1249;989;402;819;172;368;375;173;118;153;84;25;26;31;;;;
Maartensdijk;G0334;10691;Utrecht;P26;5531;4853;12;28;4813;805;280;958;724;185;367;77;236;266;560;70;149;69;9;47;11;;;;
Maasbracht;G0933;10964;Limburg;P31;4888;3261;22;26;3213;504;1442;406;168;113;34;45;93;53;6;142;10;23;69;47;58;;;;
Maasbree;G0934;11352;Limburg;P31;5339;4381;19;39;4323;328;2777;558;72;143;4;22;92;80;2;106;1;50;64;10;14;;;;
