RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);VVD;Anti-Revolutionaire Partij;Politieke Partij Radikalen (PPR);Christelijk-Historische Unie;Communistische Partij van Nederland;Democraten 66 (D66);Democratisch Socialisten '70;Staatkundig Gereformeerde Partij (SGP);Boeren Partij;Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Rooms Katholieke Partij Nederland (RKPN);Democratische Middenpartij;Nederlandse Middenstands Partij;Lijst ir. W. Stam;Partij van het Recht;Anti-Woningnood Aktie;Nieuwe Roomse Partij
Wormerveer;G0468;10361;Noord-Holland;P27;9503;8387;59;12;8316;2590;695;917;636;525;99;1480;350;294;42;81;100;291;102;39;41;34;;;
Woubrugge;G0633;10461;Zuid-Holland;P28;2365;2036;20;2;2014;250;480;354;293;73;191;23;70;79;74;37;24;28;18;9;10;;1;;
Woudenberg;G0351;11398;Utrecht;P26;5221;4641;16;34;4591;767;160;936;565;156;746;33;130;233;510;98;196;34;2;11;14;;;;
Woudrichem;G0874;10282;Noord-Brabant;P30;1813;1573;4;3;1566;665;23;141;346;31;152;43;28;25;54;21;11;10;3;8;5;;;;
Wouw;G0875;10808;Noord-Brabant;P30;4816;3646;24;26;3596;691;1465;493;94;90;25;48;133;79;1;280;4;30;83;28;52;;;;
Wymbritseradeel;G0101;11427;Fryslân;P21;6710;5973;22;9;5942;657;612;437;1477;220;1831;48;92;139;36;110;147;32;46;26;32;;;;
Zaandam;G0471;11044;Noord-Holland;P27;45491;39721;130;114;39477;12457;2654;4323;3065;2975;759;7041;2121;1681;262;298;457;892;126;151;139;76;;;
Zaandijk;G0472;11404;Noord-Holland;P27;4365;3881;22;3;3856;1270;213;522;301;220;54;612;194;194;3;23;51;130;22;26;10;11;;;
Zaltbommel;G0297;10557;Gelderland;P25;5097;4314;3;9;4302;1639;504;623;371;153;206;51;162;224;136;49;72;53;9;19;31;;;;
Zandvoort;G0473;10910;Noord-Holland;P27;11914;10003;83;9;9911;2443;821;3188;488;353;337;405;562;768;16;116;78;160;44;89;33;10;;;
Zeeland;G0877;10759;Noord-Brabant;P30;3047;2558;7;10;2541;310;1606;174;43;80;8;18;81;28;;89;1;32;57;5;9;;;;
Zeevang;G0478;11121;Noord-Holland;P27;3113;2705;29;1;2675;1013;139;628;154;86;41;104;158;133;4;78;8;72;12;18;20;7;;;
Zegveld;G0354;10949;Utrecht;P26;1083;989;6;5;978;70;153;104;234;27;165;7;18;27;91;14;56;3;5;;4;;;;
Zeist;G0355;10324;Utrecht;P26;39759;33170;144;170;32856;7021;2696;7594;3907;1752;2074;539;1193;2779;1179;341;911;469;146;174;81;;;;
Zelhem;G0298;11159;Gelderland;P25;6894;5662;10;10;5642;1552;515;666;986;74;809;30;158;160;91;340;70;32;20;109;30;;;;
Zevenaar;G0299;10938;Gelderland;P25;13858;11682;37;17;11628;2190;3930;1871;527;737;288;157;503;439;17;357;119;147;219;64;63;;;;
Zevenbergen;G0878;10046;Noord-Brabant;P30;7034;5698;41;37;5620;1122;2306;694;224;137;305;113;168;86;12;183;99;38;66;30;37;;;;
Zevenhoven;G0635;11317;Zuid-Holland;P28;1187;1047;4;1;1042;113;341;150;155;28;81;20;29;19;27;40;9;4;16;3;7;;;;
Zevenhuizen;G0636;11377;Zuid-Holland;P28;3212;2793;12;27;2754;938;61;526;267;72;347;24;84;90;227;44;29;16;6;13;9;;1;;
Zierikzee;G0732;10843;Zeeland;P29;5659;4877;8;6;4863;1596;329;757;871;140;332;60;131;166;207;27;69;94;18;40;26;;;;
Zijpe;G0476;10004;Noord-Holland;P27;4801;4100;13;18;4069;1186;913;870;151;112;36;110;269;130;8;100;26;50;46;16;34;12;;;
Zoelen;G0300;10897;Gelderland;P25;3023;2570;6;3;2561;1158;50;454;212;52;212;26;55;97;99;76;10;22;4;17;17;;;;
Zoetermeer;G0637;10766;Zuid-Holland;P28;17747;15328;24;25;15279;3360;1998;2988;1363;1005;669;228;1091;1149;787;97;207;159;110;33;27;;8;;
Zoeterwoude;G0638;11074;Zuid-Holland;P28;4141;3540;18;4;3518;379;1475;487;190;202;144;51;109;172;32;38;23;50;133;18;12;;3;;
Zuid-Beijerland;G0639;10917;Zuid-Holland;P28;2011;1740;4;21;1715;548;23;202;312;34;202;19;67;25;200;19;39;10;;11;4;;;;
Zuidelijke IJsselmeerpolders;G0996;10018;Niet-provinciaal ingedeeld;P99;4620;4096;6;5;4085;1187;320;537;590;319;250;158;251;210;46;40;110;49;8;8;2;;;;
Zuidhorn;G0056;10021;Groningen;P20;3466;3101;3;6;3092;694;60;437;701;79;144;40;65;124;12;34;635;29;5;22;11;;;;
Zuidland;G0640;10316;Zuid-Holland;P28;2169;1890;2;20;1868;372;21;233;829;80;140;16;61;30;42;9;19;6;;2;8;;;;
Zuidlaren;G0136;10002;Drenthe;P22;6511;5608;18;15;5575;1514;72;1271;1074;180;198;102;229;311;20;114;303;108;6;42;31;;;;
Zuidwolde;G0137;10262;Drenthe;P22;5151;4520;6;10;4504;1097;49;794;964;63;537;34;99;142;19;353;180;24;4;79;66;;;;
Zundert;G0879;11192;Noord-Brabant;P30;7808;5697;36;64;5597;732;2450;831;219;171;61;59;140;105;4;586;11;51;92;32;53;;;;
Zutphen;G0301;10254;Gelderland;P25;19047;16349;57;20;16272;7053;1261;2084;1263;708;784;802;642;631;49;201;218;240;78;231;27;;;;
Zwaag;G0475;10218;Noord-Holland;P27;1721;1525;2;14;1509;182;825;153;38;75;10;18;40;38;2;15;3;35;64;;11;;;;
Zwartewaal;G0641;10703;Zuid-Holland;P28;785;792;3;1;788;282;14;156;125;31;33;16;67;31;1;7;7;7;1;7;3;;;;
Zwartsluis;G0192;10303;Overijssel;P23;2843;2494;9;2;2483;520;14;206;809;53;348;39;61;87;104;55;147;5;4;26;5;;;;
Zweeloo;G0138;10872;Drenthe;P22;1793;1615;6;2;1607;557;12;429;310;42;43;13;36;36;;41;22;21;;21;24;;;;
Zwijndrecht;G0642;10468;Zuid-Holland;P28;21780;18465;78;90;18297;5506;787;2781;2820;792;1639;375;854;724;807;188;677;157;50;76;64;;;;
Zwolle;G0193;10093;Overijssel;P23;51956;45016;118;73;44825;14117;4818;6239;4848;2015;3623;1104;1757;1976;676;634;1735;687;213;286;97;;;;
