RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);CDA;VVD;Democraten 66 (D66);Algemeen Ouderen Verbond (AOV);GL;Centrumdemocraten;Reformatorische Politieke Federatie (RPF);Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);SP (Socialistische Partij);Ouderen Unie 55+;Centrumpartij;Natuurwetpartij;Vrije Indische Partij;De Groenen;Nieuwe Communistische Partij;Solidariteit Boerenpartij;Partij voor Milieu en Recht;Solidair '93;Pacifistisch Socialistische Partij '92;De Nieuwe Partij;Algemeen Democratische Partij;Patriottisch Democratisch Appèl;Socialistische Arbeiderspartij;Libertarische Partij
Grootegast;G0015;11080;Groningen;P20;8313;6747;;9;6738;1347;2793;801;540;70;98;52;291;36;583;12;23;4;8;4;8;4;16;5;2;5;5;27;;2;2
Grubbenvorst;G0912;10176;Limburg;P31;5122;4137;;18;4119;835;1511;862;549;118;48;106;3;1;11;8;21;9;10;6;2;0;4;5;1;1;2;0;;1;5
Gulpen;G0913;11032;Limburg;P31;5937;4887;;176;4711;1257;1524;572;639;227;118;122;11;5;25;67;41;9;44;0;5;2;12;13;8;2;2;0;;4;2
Haaksbergen;G0158;11435;Overijssel;P23;17574;14592;;43;14549;2958;5665;2649;1913;313;225;234;52;17;53;65;197;28;29;35;16;15;35;15;6;5;9;8;;4;3
Haaren;G0788;11155;Noord-Brabant;P30;4054;3236;;10;3226;564;1371;566;418;80;103;54;2;1;3;18;17;4;4;4;3;3;5;2;;1;1;2;0;0;0
Haarlem;G0392;10357;Noord-Holland;P27;115157;87500;;204;87296;23142;13357;18316;16028;3987;5051;1957;765;218;584;448;1176;400;410;180;269;129;50;102;294;117;85;31;121;37;42
Haarlemmerliede en Spaarnwoude;G0393;10508;Noord-Holland;P27;4031;3385;;1;3384;589;848;870;611;122;105;77;21;7;22;7;36;5;12;1;17;4;7;3;3;1;1;0;12;1;2
Haarlemmermeer;G0394;11387;Noord-Holland;P27;75754;59615;;79;59536;9477;12405;18703;9865;2190;2031;1084;872;482;568;220;555;218;171;91;98;38;62;67;28;61;85;18;102;29;16
Haelen;G0914;10321;Limburg;P31;7541;5845;;10;5835;1163;1875;1195;844;244;147;147;19;10;34;27;50;5;25;4;4;2;2;7;4;5;5;8;;3;6
Halsteren;G0789;10387;Noord-Brabant;P30;10083;7797;;33;7764;1888;1664;1571;1336;418;159;380;21;26;18;94;57;42;13;20;8;2;10;9;2;7;3;1;7;3;5
Hardenberg;G0160;10174;Overijssel;P23;24332;21386;;68;21318;4295;7958;2029;1958;361;237;167;382;69;3411;59;109;30;9;6;12;9;122;16;11;2;4;51;;9;2
Harderwijk;G0243;10786;Gelderland;P25;26200;21167;;81;21086;2972;6527;4426;2722;448;440;364;1227;803;682;129;87;38;56;37;13;20;17;16;1;11;17;11;;10;12
Hardinxveld-Giessendam;G0523;10167;Zuid-Holland;P28;12780;10644;;38;10606;1831;2098;1494;1036;142;83;208;1170;1805;582;25;48;24;12;8;2;3;3;7;1;3;15;0;3;2;1
Haren;G0017;11058;Groningen;P20;14670;12968;;28;12940;3008;2631;3460;2022;375;410;102;120;18;563;47;50;14;20;12;25;10;16;3;6;4;15;5;;2;2
Harenkarspel;G0395;10963;Noord-Holland;P27;10566;8658;;28;8630;1644;2731;1995;1290;241;272;125;22;11;47;20;77;17;49;4;24;2;15;9;7;7;5;5;4;2;5
Harlingen;G0072;10909;Fryslân;P21;11402;9282;;31;9251;3407;1758;1367;1234;275;315;175;2;6;257;50;135;28;22;11;15;21;10;11;19;9;118;4;;0;2
Harmelen;G0318;10183;Utrecht;P26;5898;4785;;6;4779;636;1468;1296;736;100;119;104;86;89;26;18;32;14;5;7;11;1;6;5;1;7;2;0;6;4;0
Hasselt;G0161;10115;Overijssel;P23;4982;4294;;6;4288;871;1146;542;322;57;49;18;476;186;552;10;19;12;6;0;2;1;6;0;1;1;2;8;;0;1
Hattem;G0244;10673;Gelderland;P25;8723;7625;;14;7611;1976;2023;1117;798;113;88;92;368;70;851;13;29;25;6;8;14;1;7;2;1;5;2;2;;0;0
