RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);CDA;VVD;Democraten 66 (D66);Algemeen Ouderen Verbond (AOV);GL;Centrumdemocraten;Reformatorische Politieke Federatie (RPF);Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);SP (Socialistische Partij);Ouderen Unie 55+;Centrumpartij;Natuurwetpartij;Vrije Indische Partij;De Groenen;Nieuwe Communistische Partij;Solidariteit Boerenpartij;Partij voor Milieu en Recht;Solidair '93;Pacifistisch Socialistische Partij '92;De Nieuwe Partij;Algemeen Democratische Partij;Patriottisch Democratisch Appèl;Socialistische Arbeiderspartij;Libertarische Partij
Thorn;G0977;11195;Limburg;P31;2102;1679;;18;1661;491;554;218;184;91;39;38;3;2;7;4;9;6;7;0;1;0;0;2;0;0;0;5;;0;0
Tiel;G0281;10027;Gelderland;P25;24029;17859;;34;17825;5040;2889;4022;3164;456;631;579;149;142;128;152;181;109;40;45;10;4;19;9;;8;20;8;;10;10
Tilburg;G0855;10792;Noord-Brabant;P30;124336;88490;;334;88156;20377;18681;12718;15627;6446;4754;2524;232;203;221;3205;1127;580;307;247;131;73;104;108;66;102;117;32;56;62;56
Tubbergen;G0183;10694;Overijssel;P23;14249;12533;;57;12476;1372;7831;1428;955;186;106;264;28;18;41;31;89;22;11;1;4;2;69;7;2;6;1;2;;0;0
Tytsjerksteradiel;G0737;11241;Fryslân;P21;23084;19720;;60;19660;5360;6600;2747;2316;295;415;185;680;145;534;98;65;41;32;8;17;31;35;15;6;14;12;5;;3;1
Ubbergen;G0282;10408;Gelderland;P25;7505;6235;;14;6221;1625;1889;1076;951;128;277;65;15;6;13;34;41;7;27;7;16;1;3;8;;5;15;8;;0;4
Uden;G0856;11141;Noord-Brabant;P30;27623;21156;;30;21126;3611;6311;4367;3114;851;310;334;52;25;56;1646;142;51;56;54;26;7;18;16;;25;17;15;6;12;4
Udenhout;G0857;11268;Noord-Brabant;P30;6719;5146;;13;5133;1010;1953;927;745;193;109;98;4;7;2;21;20;9;10;1;0;3;5;7;2;0;2;0;3;0;2
Uitgeest;G0450;11238;Noord-Holland;P27;7613;6473;;9;6464;1387;1413;1534;1326;241;219;87;19;8;20;33;79;6;21;11;11;8;3;6;8;5;5;5;6;1;2
Uithoorn;G0451;11206;Noord-Holland;P27;18645;15554;;14;15540;2691;3316;5138;2512;628;392;206;120;23;47;77;149;41;40;27;33;9;12;22;4;5;13;1;19;11;4
Urk;G0184;10783;Flevoland;P24;8267;7063;;7;7056;51;2289;146;26;50;9;64;1441;2489;456;2;9;6;0;1;0;5;2;2;3;1;1;;1;2;0
Utrecht;G0344;10722;Utrecht;P26;173943;134341;;0;134341;35357;17335;21143;26683;4554;14126;5714;1014;511;1056;3009;1006;814;425;360;309;154;52;77;108;147;141;26;106;78;36
Vaals;G0981;10007;Limburg;P31;6279;4921;;17;4904;1509;1381;644;615;289;121;91;20;9;37;62;37;9;26;4;15;9;5;4;1;10;0;1;;4;1
Valburg;G0283;11071;Gelderland;P25;9800;7949;;18;7931;1451;2385;1468;1338;182;201;124;123;375;78;25;37;10;20;4;12;2;9;18;2;6;4;53;;4;0
Valkenburg (ZH);G0619;10028;Zuid-Holland;P28;2433;2044;;6;2038;228;743;407;207;47;31;23;121;38;133;17;24;4;5;0;2;0;4;3;0;0;0;0;;0;1
Valkenburg aan de Geul;G0994;11077;Limburg;P31;14127;11295;;56;11239;2473;3593;1897;1475;666;242;307;32;6;62;166;109;21;101;9;12;1;8;17;14;6;3;11;;2;6
Valkenisse;G0720;10779;Zeeland;P29;4744;4001;;16;3985;593;1175;952;566;138;90;60;109;166;48;8;30;11;13;3;4;1;2;7;;2;4;1;;2;0
Valkenswaard;G0858;11031;Noord-Brabant;P30;23494;18311;;22;18289;3958;4832;3467;2975;1533;345;429;64;31;50;290;93;55;35;26;24;5;10;17;;12;13;2;6;11;6
Veendam;G0047;11292;Groningen;P20;21540;16658;;21;16637;7320;2154;2593;2388;534;314;367;252;14;217;171;61;54;22;16;28;49;13;12;13;16;10;7;;6;6
Veenendaal;G0345;11052;Utrecht;P26;37171;30127;;77;30050;4422;7574;5674;3691;613;632;613;2980;2384;861;130;206;69;29;46;21;6;10;17;7;23;15;8;13;5;1
Veere;G0717;10369;Zeeland;P29;3785;3386;;11;3375;375;1132;641;436;86;90;43;135;223;160;9;17;3;4;1;0;4;4;2;;1;3;5;;0;1
Veghel;G0860;10985;Noord-Brabant;P30;24568;19866;;57;19809;3517;7130;3606;2824;955;328;420;33;19;34;375;163;47;64;87;15;4;18;27;;4;17;107;4;4;7
Veldhoven;G0861;10071;Noord-Brabant;P30;29780;23795;;42;23753;4336;6318;4712;4243;1830;509;609;143;45;77;507;166;41;61;32;10;10;13;39;;9;11;5;11;9;7
Velsen;G0453;10620;Noord-Holland;P27;49047;38296;;61;38235;9513;6524;9296;6340;2171;1127;723;553;109;380;243;564;152;110;49;72;72;26;35;29;40;17;5;55;18;12
Venhuizen;G0454;10433;Noord-Holland;P27;5454;4687;;0;4687;860;1240;1415;640;161;128;81;17;0;18;20;34;8;13;9;13;5;6;4;2;0;4;2;4;1;2
Venlo;G0983;10477;Limburg;P31;47761;32804;;84;32720;6619;9876;5856;4901;1300;1242;1005;89;40;120;449;714;86;102;131;52;28;7;31;23;18;18;6;;4;3
Venray;G0984;11222;Limburg;P31;25940;18687;;41;18646;3949;6829;2718;2948;679;470;305;27;20;44;204;167;34;66;47;24;7;28;15;14;22;9;7;;8;5
Vessem, Wintelre en Knegsel;G0862;11414;Noord-Brabant;P30;3890;3213;;8;3205;392;1579;547;386;113;60;63;1;7;3;21;8;6;1;0;1;1;10;1;;1;1;1;1;1;0
Vianen;G0620;10887;Zuid-Holland;P28;14105;11577;;33;11544;2535;2531;2520;2028;307;267;287;243;442;57;89;77;41;29;19;14;5;4;7;4;2;8;4;13;5;6
Vierlingsbeek;G0863;10066;Noord-Brabant;P30;5618;4613;;16;4597;935;1848;696;673;138;121;96;7;6;5;19;19;7;5;0;1;1;11;1;;1;0;4;0;1;2
Vlaardingen;G0622;10811;Zuid-Holland;P28;56879;43211;;96;43115;11337;6748;8413;6472;1872;1202;1511;876;910;456;2092;406;194;91;87;69;24;17;56;103;53;23;14;64;12;13
Vlagtwedde;G0048;11249;Groningen;P20;12670;9415;;16;9399;3638;2293;1357;878;287;170;150;290;9;70;63;49;24;9;5;19;27;18;2;6;4;11;20;;0;0
Vledder;G0132;11120;Drenthe;P22;3044;2477;;3;2474;928;447;534;326;55;60;25;30;3;18;3;14;1;6;1;1;4;5;3;2;3;2;2;;0;1
Vleuten-De Meern;G0347;10658;Utrecht;P26;13158;11173;;20;11153;1507;3444;3161;1607;378;228;262;104;84;115;56;92;32;16;6;13;7;6;7;3;4;5;4;8;2;2
Vlieland;G0096;10211;Fryslân;P21;876;1045;;8;1037;269;130;356;168;32;49;9;2;1;5;8;5;0;1;0;1;0;0;0;1;0;0;0;;0;0
Vlijmen;G0864;11293;Noord-Brabant;P30;12135;9778;;27;9751;1947;2769;1870;1644;572;160;351;25;4;21;161;112;18;27;14;5;3;18;12;;3;3;2;4;3;3
Vlissingen;G0718;10270;Zeeland;P29;33436;25092;;92;25000;6788;3961;4709;4196;1316;760;1007;504;511;235;267;289;118;89;101;22;22;20;29;;15;16;12;;7;6
Vlist;G0623;11174;Zuid-Holland;P28;7250;6283;;13;6270;1115;1593;1455;786;111;88;188;227;521;59;53;24;19;4;1;7;3;6;3;2;1;4;0;;0;0
Voerendaal;G0986;11341;Limburg;P31;10246;8079;;13;8066;1727;2911;1208;1080;363;189;155;27;10;42;131;85;19;49;17;7;2;5;7;6;4;13;2;;5;2
Voorburg;G0624;11103;Zuid-Holland;P28;31755;26487;;64;26423;4429;5051;8584;4323;1001;748;722;224;107;270;193;357;86;74;94;43;7;3;19;40;11;16;5;;7;9
Voorhout;G0625;10017;Zuid-Holland;P28;7890;6844;;8;6836;893;2118;2074;1133;148;174;79;31;11;33;21;45;18;12;6;8;3;4;8;3;4;3;3;;1;3
Voorschoten;G0626;10537;Zuid-Holland;P28;16594;14166;;25;14141;2109;3178;4703;2535;384;403;203;108;71;116;67;93;25;52;44;10;3;5;11;4;3;7;0;;2;5
Voorst;G0285;10912;Gelderland;P25;17801;14834;;58;14776;3407;4758;3037;2154;306;295;177;95;242;55;43;59;26;26;21;7;7;15;9;4;6;7;7;;5;8
Vorden;G0286;10957;Gelderland;P25;6636;5768;;11;5757;1313;1799;1526;733;93;87;31;43;19;37;14;14;3;7;4;13;1;11;2;1;1;3;0;;1;1
Vries;G0133;10630;Drenthe;P22;7480;6397;;17;6380;1948;776;1994;1005;115;160;84;59;4;106;19;22;10;12;5;4;4;19;1;4;1;3;19;;4;2
Vriezenveen;G0186;10643;Overijssel;P23;13841;11433;;29;11404;2782;3942;1257;958;140;79;154;1308;459;117;37;82;23;14;4;2;2;18;7;6;0;5;2;;5;1
Vught;G0865;11224;Noord-Brabant;P30;18875;14769;;38;14731;3060;3984;3112;2450;720;419;275;32;28;58;161;224;43;28;28;25;3;12;10;;17;22;1;8;8;3
Waalre;G0866;10959;Noord-Brabant;P30;11890;10013;;18;9995;1608;2783;2716;1632;614;210;150;13;12;34;63;42;18;32;7;17;2;9;7;;2;12;1;1;6;4
Waalwijk;G0867;11359;Noord-Brabant;P30;21908;17016;;53;16963;3416;4117;3236;2810;1209;470;579;179;60;57;221;302;52;59;68;14;9;9;37;9;11;11;8;13;4;3
Waddinxveen;G0627;10081;Zuid-Holland;P28;18630;15660;;33;15627;2657;3390;3630;2279;249;231;276;780;996;436;77;447;42;29;22;15;3;20;14;4;8;6;4;;7;5
Wageningen;G0289;11010;Gelderland;P25;26076;21272;;36;21236;5885;3552;3144;4090;432;2427;169;367;306;229;150;75;15;77;51;126;12;18;13;3;26;18;10;;36;5
Warmond;G0628;10204;Zuid-Holland;P28;3962;3240;;4;3236;474;1066;881;493;79;67;41;16;16;14;19;25;12;10;0;5;4;3;2;3;1;2;1;;1;1
Warnsveld;G0291;10838;Gelderland;P25;6627;5535;;10;5525;1483;1097;1211;1096;157;181;42;81;9;54;31;28;8;9;5;13;2;0;1;2;2;9;1;;2;1
Waspik;G0869;10402;Noord-Brabant;P30;3693;3055;;6;3049;739;908;491;400;145;65;111;22;19;15;34;65;5;4;0;4;0;7;8;2;0;0;0;0;4;1
Wassenaar;G0629;10164;Zuid-Holland;P28;18515;15748;;20;15728;1617;3794;7193;1775;391;211;226;91;47;71;28;85;33;58;19;28;4;7;11;5;14;8;5;;2;5
Wateringen;G0630;11329;Zuid-Holland;P28;11027;8973;;9;8964;997;3052;2720;1155;262;101;310;57;7;58;28;84;37;23;12;10;7;5;15;9;4;3;1;5;2;0
Waterland;G0852;10983;Noord-Holland;P27;13610;11538;;25;11513;2404;2339;3477;1797;486;362;221;67;14;55;49;69;32;31;6;14;10;11;11;3;12;7;6;22;5;3
Weerselo;G0188;10893;Overijssel;P23;6708;6052;;19;6033;672;3664;785;457;92;54;137;7;1;24;13;50;17;7;0;6;3;35;5;1;1;1;1;;0;0
Weert;G0988;11081;Limburg;P31;31023;23670;;84;23586;5642;6009;4620;3387;1445;420;912;43;23;81;426;200;60;89;86;16;8;14;30;17;8;14;20;;14;2
Weesp;G0457;10773;Noord-Holland;P27;13452;10965;;36;10929;2386;1770;2723;2154;542;377;350;95;33;79;66;125;28;42;49;20;16;4;22;7;6;6;3;11;8;7
Wehl;G0292;11116;Gelderland;P25;5154;3924;;12;3912;1021;1652;431;502;79;62;90;6;3;8;8;11;7;2;2;4;1;10;3;2;1;4;0;;0;3
Werkendam;G0870;10078;Noord-Brabant;P30;13718;11052;;28;11024;2077;3329;1734;992;232;132;166;645;1341;187;30;57;42;11;2;4;0;9;9;2;8;5;3;4;1;2
Wervershoof;G0459;11270;Noord-Holland;P27;5600;4736;;20;4716;716;1906;1028;519;162;118;73;16;1;15;11;67;4;23;3;8;0;4;4;2;8;1;20;5;2;0
West Maas en Waal;G0668;10042;Gelderland;P25;13552;11163;;50;11113;2796;3878;2025;1397;348;165;229;23;14;22;69;51;28;17;6;2;2;11;10;;8;3;5;;3;1
Westerbork;G0134;11095;Drenthe;P22;6045;5425;;12;5413;1803;1070;1208;642;117;124;81;59;53;59;21;16;15;21;1;8;5;30;1;1;0;7;69;;2;0
Westerhoven;G0871;11041;Noord-Brabant;P30;1367;1192;;0;1192;235;500;170;147;65;18;21;2;1;1;2;13;6;1;0;1;0;6;1;;1;1;0;0;0;0
Wester-Koggenland;G0558;10354;Noord-Holland;P27;9615;8137;;31;8106;1377;2736;2094;1105;218;190;140;19;6;12;38;51;11;42;3;12;5;6;12;9;4;4;0;8;2;2
Westerschouwen;G0725;10701;Zeeland;P29;4796;4554;;13;4541;989;929;1336;544;177;85;104;149;102;44;14;24;11;16;3;0;2;4;1;;2;3;2;;0;0
Westervoort;G0293;11085;Gelderland;P25;10947;8655;;18;8637;2338;1741;1597;1823;267;300;147;66;4;96;76;37;23;20;50;14;6;2;6;4;9;5;1;;2;3
Westkapelle;G0726;10931;Zeeland;P29;2060;1841;;4;1837;494;408;359;165;37;22;36;47;221;19;3;6;8;1;1;2;0;3;1;;0;2;0;;0;2
Weststellingwerf;G0098;11322;Fryslân;P21;19002;15143;;53;15090;5451;3242;2810;1699;449;412;243;182;38;97;79;82;90;36;2;28;30;45;12;14;13;10;6;;10;10
Westvoorne;G0614;10009;Zuid-Holland;P28;10766;8896;;31;8865;1825;1398;3415;1144;306;140;232;68;51;29;58;98;26;17;2;12;8;7;11;4;4;3;3;1;2;1
Wierden;G0189;10676;Overijssel;P23;16874;15055;;27;15028;2028;6529;2307;1408;228;176;200;1378;380;97;45;133;25;11;20;5;4;18;9;7;4;3;7;;0;6
Wieringen;G0462;11277;Noord-Holland;P27;6502;5085;;22;5063;1459;630;1471;774;251;126;118;22;6;20;22;57;28;22;3;12;11;6;4;5;4;3;2;4;0;3
Wieringermeer;G0463;10239;Noord-Holland;P27;8928;7363;;13;7350;1508;1991;1724;1021;310;133;149;122;35;89;27;105;26;32;4;12;0;8;10;10;2;2;23;7;0;0
Wijchen;G0296;10723;Gelderland;P25;26563;21114;;30;21084;5012;6031;3666;3952;730;469;469;58;19;48;241;165;34;67;34;14;6;12;23;;5;9;8;;7;5
Wijhe;G0190;10888;Overijssel;P23;5618;4773;;10;4763;1407;1754;670;542;73;74;43;75;18;33;12;19;1;7;4;4;4;9;3;1;2;1;5;;2;0
Wijk bij Duurstede;G0352;10760;Utrecht;P26;11911;9460;;34;9426;2023;1690;2365;2007;201;481;216;105;45;64;52;61;25;27;19;8;3;2;7;6;2;6;1;7;3;0
Willemstad;G0872;10827;Noord-Brabant;P30;2573;2151;;15;2136;460;566;550;313;33;43;34;51;10;17;20;14;8;4;1;3;3;2;1;2;0;0;0;1;0;0
Winschoten;G0052;10453;Groningen;P20;15024;11641;;50;11591;5221;1585;1493;1272;432;524;205;207;10;144;106;87;27;23;1;15;200;3;2;7;8;7;9;;3;0
Winsum;G0053;11135;Groningen;P20;9661;8334;;20;8314;2599;2152;1097;1109;111;393;49;86;17;536;51;18;5;17;2;21;8;13;6;1;10;4;7;;2;0
Winterswijk;G0294;11119;Gelderland;P25;21401;17283;;43;17240;5722;3629;3897;2328;380;413;189;147;20;98;107;126;12;50;17;31;10;15;12;4;9;12;6;;2;4
Wisch;G0295;10318;Gelderland;P25;15117;11710;;34;11676;3079;3603;2248;1641;325;209;138;133;19;42;52;55;23;21;15;14;6;16;13;3;6;3;5;;6;1
Wissenkerke;G0727;10243;Zeeland;P29;2566;2152;;6;2146;424;664;441;208;103;38;40;51;107;34;6;14;3;3;0;4;2;4;0;;0;0;0;;0;0
Wittem;G0990;11371;Limburg;P31;5964;5326;;32;5294;1281;1856;701;727;256;155;78;13;16;38;55;39;7;37;3;2;5;5;5;6;3;5;0;;1;0
Woensdrecht;G0873;10602;Noord-Brabant;P30;7797;5932;;24;5908;1423;1253;1307;932;370;83;260;25;8;17;32;61;35;10;30;6;2;18;10;3;4;5;3;6;3;2
Woerden;G0632;10974;Utrecht;P26;26084;23219;;1180;22039;3329;6288;4960;3540;524;531;479;876;804;197;217;91;42;50;20;15;11;12;11;2;8;7;2;17;5;1
Wognum;G0466;10818;Noord-Holland;P27;5378;4454;;0;4454;605;1738;1066;645;116;103;61;13;1;13;13;16;6;7;7;19;1;3;3;4;3;2;4;2;0;3
Wormerland;G0880;10648;Noord-Holland;P27;11231;9315;;39;9276;2369;1668;2061;1661;352;533;152;88;24;60;42;87;19;28;34;19;12;12;15;4;11;4;2;14;4;1
Woudenberg;G0351;11398;Utrecht;P26;7621;6595;;6;6589;874;1631;1491;766;142;100;95;598;651;122;32;30;10;6;6;7;4;6;2;2;2;4;0;7;1;0
Woudrichem;G0874;10282;Noord-Brabant;P30;10278;8594;;9;8585;1695;2728;1350;907;162;122;108;599;413;363;38;20;26;11;2;6;3;5;6;0;6;4;0;6;3;2
Wouw;G0875;10808;Noord-Brabant;P30;6515;4981;;28;4953;1038;1470;1101;692;235;75;221;4;2;6;21;30;19;8;1;11;2;3;5;2;0;4;1;0;0;2
Wûnseradiel;G0710;10454;Fryslân;P21;8361;6963;;29;6934;1828;2569;1005;704;161;212;66;87;23;106;37;25;19;25;6;13;13;8;6;8;9;1;1;;1;1
Wymbritseradiel;G0683;11427;Fryslân;P21;10838;9121;;9;9112;1798;4035;1359;1045;129;209;45;237;27;106;13;23;12;13;2;13;5;10;5;5;12;3;4;;1;1
Zaanstad;G0479;11044;Noord-Holland;P27;98127;75549;;203;75346;21438;9848;16072;13435;3510;4172;2030;786;239;452;669;615;318;323;167;187;273;45;99;184;202;33;34;152;33;30
Zaltbommel;G0297;10557;Gelderland;P25;7546;6193;;11;6182;1801;1115;1225;1059;193;251;122;77;110;84;45;34;25;8;3;8;3;2;4;;5;1;3;;3;1
Zandvoort;G0473;10910;Noord-Holland;P27;12807;9932;;27;9905;1986;1257;3537;1542;706;199;252;41;12;22;46;176;18;26;14;20;9;4;14;8;3;1;1;10;0;1
Zederik;G0707;10618;Zuid-Holland;P28;9803;8727;;30;8697;1492;2693;1418;743;123;87;143;699;1040;142;30;12;22;6;6;9;2;11;1;3;5;6;2;0;0;2
Zeevang;G0478;11121;Noord-Holland;P27;4555;3857;;0;3857;844;403;1473;674;140;126;72;8;4;5;24;25;15;16;0;7;2;5;5;2;2;1;1;3;0;0
Zeewolde;G0050;10012;Flevoland;P24;8140;7033;;17;7016;897;1426;2493;1068;197;111;91;259;79;248;25;43;14;18;2;15;3;5;8;1;3;1;;9;0;0
Zeist;G0355;10324;Utrecht;P26;44972;35254;;56;35198;6774;6479;9291;5668;1077;1487;738;834;936;653;207;316;157;88;77;66;19;16;38;14;35;164;12;30;11;11
Zelhem;G0298;11159;Gelderland;P25;8808;7019;;24;6995;1975;2076;1316;911;149;99;92;126;107;38;17;22;12;9;0;2;2;27;4;1;2;3;3;;1;1
Zevenaar;G0299;10938;Gelderland;P25;20546;16217;;21;16196;3782;4276;2761;3446;616;431;262;93;14;57;96;160;28;53;60;4;4;8;20;5;5;7;2;;6;0
Zevenbergen;G0878;10046;Noord-Brabant;P30;12389;9383;;34;9349;2103;2281;2151;1502;389;185;286;42;24;112;55;75;46;12;16;20;5;8;6;7;4;7;5;4;3;1
Zevenhuizen-Moerkapelle;G1666;11377;Zuid-Holland;P28;7419;6475;;15;6460;1108;1285;1592;792;117;92;159;320;810;63;29;25;12;12;8;5;2;9;9;7;0;2;2;;0;0
Zierikzee;G0732;10843;Zeeland;P29;7870;6364;;16;6348;1778;1236;1205;1067;126;136;111;310;175;66;27;31;16;21;3;7;4;5;7;;6;2;4;;1;4
Zijpe;G0476;10004;Noord-Holland;P27;8397;6884;;14;6870;1631;1562;1876;965;262;156;113;47;11;28;52;43;18;28;3;10;10;13;13;8;6;5;1;4;0;5
Zoetermeer;G0637;10766;Zuid-Holland;P28;74162;59279;;70;59209;11916;8417;15251;12209;1589;1592;1094;1070;689;579;3264;428;137;242;319;79;28;12;37;146;52;23;9;;18;9
Zoeterwoude;G0638;11074;Zuid-Holland;P28;6279;5195;;6;5189;725;1629;1295;937;137;181;93;18;25;27;37;30;9;6;3;9;0;7;6;3;7;1;3;;1;0
Zuidhorn;G0056;10021;Groningen;P20;12542;11004;;25;10979;2381;3193;1444;1267;155;265;77;189;37;1739;55;45;12;23;3;24;8;13;3;3;9;19;13;;2;0
Zuidlaren;G0136;10002;Drenthe;P22;8544;7170;;20;7150;1968;1252;1775;1006;177;223;75;91;12;410;41;41;4;19;5;8;12;10;3;4;3;0;9;;0;2
Zuidwolde;G0137;10262;Drenthe;P22;7422;6304;;17;6287;1419;1799;1374;721;107;95;90;92;35;188;15;32;12;15;4;2;1;37;4;0;3;2;237;;0;3
Zundert;G0879;11192;Noord-Brabant;P30;10663;7619;;40;7579;1546;2525;1579;1054;268;163;239;8;12;8;29;36;20;8;5;13;3;26;7;2;6;5;5;3;1;8
Zutphen;G0301;10254;Gelderland;P25;23878;18903;;54;18849;6302;2826;2929;3492;687;1089;262;163;27;186;405;117;41;111;26;30;18;19;17;6;11;60;3;;15;7
Zwartsluis;G0192;10303;Overijssel;P23;3330;2873;;5;2868;662;1002;371;236;61;25;23;190;62;189;9;11;4;2;0;2;5;3;1;0;4;1;3;;1;1
Zweeloo;G0138;10872;Drenthe;P22;2278;2157;;5;2152;665;425;596;279;38;49;13;23;4;19;6;10;1;2;2;3;1;3;2;3;0;0;8;;0;0
Zwijndrecht;G0642;10468;Zuid-Holland;P28;31921;25914;;46;25868;5628;5130;5505;4395;784;420;795;773;966;778;111;189;112;59;66;21;15;7;23;18;16;14;4;25;5;9
Zwolle;G0193;10093;Overijssel;P23;76080;61127;;99;61028;16348;12551;10015;10130;1287;2778;547;2382;330;2552;347;495;486;155;103;236;38;42;46;34;43;35;18;;19;11
