RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);CDA;VVD;Democraten 66 (D66);Staatkundig Gereformeerde Partij (SGP);Communistische Partij van Nederland;Politieke Partij Radikalen (PPR);Gereformeerd Politiek Verbond (GPV);Pacifistisch-Socialistische Partij (PSP);Boeren Partij;Democratisch Socialisten '70;Reformatorische Politieke Federatie (RPF);Nederlandse Volks Unie (NVU);Rooms Katholieke Partij Nederland (RKPN);SP (Socialistische Partij);Federatie Bejaardenpartijen Nederland;Verbond tegen Ambtelijke Willekeur;KEN;Democratisch Actie Centrum;Partij van de Belastingbetalers;Europese Conservatieve Unie;Lijst-JUSIA;Nederlandse Middenstands Partij;Lijst-Griek
Wognum;G0466;10818;Noord-Holland;P27;2517;2355;16;;2339;409;1157;462;149;;22;55;;24;13;14;;8;24;2;;;;;;;;;
Wonseradeel;G0099;10454;Fryslân;P21;7730;7186;44;;7142;2055;3619;766;236;39;70;92;88;47;52;24;27;9;3;6;7;1;1;;;;;;
Workum;G0100;10768;Fryslân;P21;2807;2608;25;;2583;542;1523;254;98;18;3;28;25;21;16;12;20;5;18;;;;;;;;;;
Wormer;G0467;10648;Noord-Holland;P27;7402;6765;28;;6737;2456;1659;1101;446;28;412;253;24;104;33;54;88;16;20;7;;;1;1;34;;;;
Woubrugge;G0633;10461;Zuid-Holland;P28;2807;2592;21;;2571;469;1103;564;211;63;5;26;7;21;25;26;26;14;8;1;;1;1;;;;;;
Woudenberg;G0351;11398;Utrecht;P26;5902;5427;46;;5381;954;1753;1297;268;610;10;77;104;65;77;34;116;9;;2;4;;;1;;;;;
Woudrichem;G0874;10282;Noord-Brabant;P30;7921;7282;34;;7248;1856;3421;738;158;481;25;65;206;29;52;18;179;9;3;4;1;1;2;;;;;;
Wouw;G0875;10808;Noord-Brabant;P30;5268;4505;35;;4470;1216;2031;780;159;2;10;45;2;14;107;27;3;14;36;;19;1;3;1;;;;;
Wymbritseradeel;G0101;11427;Fryslân;P21;7366;6966;21;;6945;1197;4371;716;285;35;14;89;48;37;44;34;36;8;27;1;2;;;1;;;;;
Zaanstad;G0479;11044;Noord-Holland;P27;84934;75019;340;;74679;30770;14344;11684;5024;376;6977;1683;414;1184;302;733;426;350;218;73;;34;32;11;44;;;;
Zaltbommel;G0297;10557;Gelderland;P25;5538;4918;10;;4908;2027;1231;925;275;125;30;79;47;37;35;42;24;6;7;14;;;3;1;;;;;
Zandvoort;G0473;10910;Noord-Holland;P27;12405;10923;84;;10839;3210;1841;4274;744;23;156;136;34;71;72;157;17;49;34;10;;3;3;5;;;;;
Zeeland;G0877;10759;Noord-Brabant;P30;3437;3114;16;;3098;431;2252;220;73;;3;32;1;15;25;9;;3;16;16;2;;;;;;;;
Zeevang;G0478;11121;Noord-Holland;P27;3427;3125;27;;3098;1154;397;1021;261;3;55;67;3;35;48;26;5;12;7;1;;1;1;;1;;;;
Zegveld;G0354;10949;Utrecht;P26;1204;1128;11;;1117;126;564;172;29;135;1;3;14;4;15;9;38;1;4;1;;1;;;;;;;
Zeist;G0355;10324;Utrecht;P26;42219;37235;265;;36970;9540;10359;10156;2579;1220;215;700;545;328;185;416;360;107;101;104;27;9;7;12;;;;;
Zelhem;G0298;11159;Gelderland;P25;7489;6554;31;;6523;2131;2374;1142;254;119;16;68;41;20;260;35;26;10;18;3;;;1;5;;;;;
Zevenaar;G0299;10938;Gelderland;P25;17141;15122;26;;15096;3833;6249;2999;862;26;97;414;80;85;154;86;36;39;104;25;;1;3;3;;;;;
Zevenbergen;G0878;10046;Noord-Brabant;P30;9703;8458;54;;8404;2730;3486;1297;403;25;44;80;99;39;100;25;11;25;31;1;5;;3;;;;;;
Zevenhoven;G0635;11317;Zuid-Holland;P28;1362;1283;11;;1272;206;687;255;33;38;2;13;3;3;7;5;9;3;7;1;;;;;;;;;
Zevenhuizen;G0636;11377;Zuid-Holland;P28;3735;3451;43;;3408;1115;833;839;161;256;9;41;15;15;50;21;33;11;4;1;3;;1;;;;;;
Zierikzee;G0732;10843;Zeeland;P29;6241;5547;22;;5525;2134;1604;1003;271;238;20;50;25;25;21;20;89;9;6;10;;;;;;;;;
Zijpe;G0476;10004;Noord-Holland;P27;5755;5180;37;;5143;1814;1285;1372;301;18;61;80;3;47;56;40;3;13;35;;;1;2;12;;;;;
Zoelen;G0300;10897;Gelderland;P25;3144;2883;13;;2870;1256;503;683;131;109;7;42;5;22;75;20;5;8;3;1;;;;;;;;;
Zoetermeer;G0637;10766;Zuid-Holland;P28;32919;29153;230;;28923;9005;6808;7688;2642;904;224;458;148;215;104;294;159;153;62;28;15;2;2;12;;;;;
Zoeterwoude;G0638;11074;Zuid-Holland;P28;4508;4182;28;;4154;740;1998;839;283;38;23;80;3;28;16;29;5;13;45;9;3;2;;;;;;;
Zuid-Beijerland;G0639;10917;Zuid-Holland;P28;2219;2048;15;;2033;718;592;355;89;201;8;13;15;7;18;4;10;2;;;1;;;;;;;;
Zuidelijke IJsselmeerpolders;G0996;10018;Niet-provinciaal ingedeeld;P99;14939;13321;23;;13298;5191;2897;2402;1045;85;597;445;112;86;96;116;100;79;15;19;;6;5;2;;;;;
Zuidhorn;G0056;10021;Groningen;P20;4398;4110;13;;4097;1078;1177;732;197;20;10;62;702;27;18;17;46;7;1;2;;1;;;;;;;
Zuidland;G0640;10316;Zuid-Holland;P28;2565;2322;8;;2314;554;1116;381;138;45;6;21;12;3;8;12;13;5;;;;;;;;;;;
Zuidlaren;G0136;10002;Drenthe;P22;6578;5852;31;;5821;1932;1366;1533;305;13;36;102;273;35;81;49;57;17;3;9;;2;3;5;;;;;
Zuidwolde;G0137;10262;Drenthe;P22;5701;5264;25;;5239;1399;1849;1159;235;41;12;40;132;18;228;44;42;24;3;7;;2;1;3;;;;;
Zundert;G0879;11192;Noord-Brabant;P30;8422;6894;96;;6798;1399;3167;1325;213;9;13;72;1;53;386;42;1;12;85;4;14;1;;1;;;;;
Zutphen;G0301;10254;Gelderland;P25;20965;18659;70;;18589;8756;3963;3038;1204;66;394;376;126;208;121;134;64;41;54;32;;4;6;1;;1;;;
Zwaag;G0475;10218;Noord-Holland;P27;2166;1956;10;;1946;337;1008;380;105;1;7;50;1;17;8;9;1;3;18;;;;;;1;;;;
Zwartewaal;G0641;10703;Zuid-Holland;P28;1227;1131;6;;1125;385;216;371;88;6;8;17;5;8;7;7;2;4;;;;1;;;;;;;
Zwartsluis;G0192;10303;Overijssel;P23;2917;2722;8;;2714;659;1315;285;86;118;29;21;72;5;36;8;76;;2;1;;;;1;;;;;
Zweeloo;G0138;10872;Drenthe;P22;1891;1822;6;;1816;587;441;589;88;3;6;28;8;13;31;12;3;1;1;3;;1;1;;;;;;
Zwijndrecht;G0642;10468;Zuid-Holland;P28;26665;23703;137;;23566;8468;6292;4749;1380;952;145;287;578;105;86;136;227;98;22;19;11;2;3;6;;;;;
Zwolle;G0193;10093;Overijssel;P23;54976;49357;136;;49221;17757;14919;8128;2786;647;455;790;1417;421;312;321;1008;96;100;29;;16;10;9;;;;;
