RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;CDA;Lijst Pim Fortuyn;VVD;Partij van de Arbeid (P.v.d.A.);GL;SP (Socialistische Partij);Democraten 66 (D66);ChristenUnie;Staatkundig Gereformeerde Partij (SGP);LN;Verenigde Senioren Partij;Vrije Indische Partij & OuderenUnie;Duurzaam Nederland;Partij van de Toekomst;Nieuwe Midden Partij;Republikeinse Volkspartij
Aa en Hunze;G1680;10787;Drenthe;P22;19445;16219;;13;16206;2606;1893;3946;4411;1138;757;938;157;26;246;62;13;5;6;2;
Aalburg;G0738;11084;Noord-Brabant;P30;8658;7484;;3;7481;2541;1067;656;416;138;215;116;655;1574;81;7;4;0;9;2;
Aalsmeer;G0358;11264;Noord-Holland;P27;17280;14719;;15;14704;4590;2774;3106;1486;593;537;765;361;62;303;98;;8;17;4;
Aalten;G0197;11046;Gelderland;P25;13922;11656;;12;11644;5922;1119;1088;1417;607;469;400;398;30;136;39;6;3;9;1;
Abcoude;G0305;10712;Utrecht;P26;6180;5585;;5;5580;1564;845;1318;625;334;264;410;80;42;79;14;1;1;3;;
Achtkarspelen;G0059;10199;Fryslân;P21;21343;17130;;15;17115;7188;2160;1190;3025;625;704;360;1363;213;225;30;;7;23;2;
Alblasserdam;G0482;11327;Zuid-Holland;P28;13430;11155;;11;11144;2837;1929;1155;1853;327;498;309;711;1324;145;36;15;4;1;0;
Albrandswaard;G0613;10124;Zuid-Holland;P28;13760;11568;;16;11552;2988;3188;2192;1228;359;444;498;202;143;248;43;7;5;4;3;
Alkemade;G0483;10349;Zuid-Holland;P28;10733;9244;;5;9239;3738;1558;1637;853;445;351;403;25;14;177;18;2;2;11;5;
Alkmaar;G0361;10527;Noord-Holland;P27;69192;54734;;81;54653;11079;8557;8284;10041;5736;4850;3592;676;57;1310;304;74;66;;27;
Almelo;G0141;11053;Overijssel;P23;52529;39894;;42;39852;12259;6081;5015;7994;2557;2118;1652;1050;132;611;200;105;50;25;3;
Almere;G0034;10018;Flevoland;P24;109764;83890;;95;83795;13538;19340;16279;13230;6830;4659;5081;1577;98;2374;575;118;58;;38;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;52995;42165;;81;42084;11436;7013;8220;4912;2854;2211;2587;1427;512;689;114;37;32;31;9;
Alphen-Chaam;G1723;10710;Noord-Brabant;P30;7078;6156;;0;6156;2676;1014;1069;491;260;269;255;13;2;71;23;2;3;6;2;
Ambt Montfort;G1679;10456;Limburg;P31;8550;6471;;27;6444;2766;1283;716;694;341;251;224;19;2;111;21;10;1;1;4;
Ameland;G0060;11153;Fryslân;P21;2656;3046;;0;3046;1107;443;499;502;155;103;118;42;4;53;14;;0;5;1;
Amerongen;G0306;11372;Utrecht;P26;5429;4623;;5;4618;1373;772;768;482;177;160;196;202;415;52;15;1;2;3;;
Amersfoort;G0307;10948;Utrecht;P26;94305;75999;;85;75914;18018;9912;13625;11290;7072;5353;4544;3862;697;1152;204;94;45;46;;
Amstelveen;G0362;10799;Noord-Holland;P27;57505;48168;;82;48086;10639;7675;11213;6899;3614;2657;3688;521;95;740;294;;17;26;8;
Amsterdam;G0363;11150;Noord-Holland;P27;524756;372399;;2614;369785;38518;61185;53243;86601;48707;40052;28349;3527;352;5052;2212;939;523;243;282;
Andijk;G0364;10822;Noord-Holland;P27;4745;4069;;5;4064;1343;727;631;437;204;209;153;214;49;76;16;2;2;;1;
Angerlo;G0199;11131;Gelderland;P25;3762;3192;;10;3182;1178;401;509;490;183;179;160;12;5;49;7;4;1;3;1;
Anna Paulowna;G0366;10344;Noord-Holland;P27;10351;8446;;3;8443;2556;1468;1919;933;369;337;391;93;21;256;76;10;7;;7;
Apeldoorn;G0200;11075;Gelderland;P25;118243;94451;;85;94366;27139;13122;15935;14673;6709;4482;5058;2686;2458;1476;284;164;105;56;19;
Appingedam;G0003;10886;Groningen;P20;9772;7265;;2;7263;1781;1020;792;2074;397;382;352;262;15;136;33;12;1;5;1;
Arcen en Velden;G0885;10202;Limburg;P31;6636;5463;;8;5455;2786;761;682;462;268;193;186;15;5;70;21;4;1;1;0;
Arnhem;G0202;10795;Gelderland;P25;106615;78498;;322;78176;15393;12036;11416;14882;9385;6804;5091;1213;113;1112;267;182;232;39;11;
Assen;G0106;10522;Drenthe;P22;44929;35856;;30;35826;7713;3938;5127;8394;3052;2258;1943;2638;139;426;105;43;26;19;5;
Asten;G0743;10478;Noord-Brabant;P30;11926;9987;;33;9954;4476;1536;1380;908;528;533;344;14;4;166;39;6;0;19;1;
Axel;G0650;11289;Zeeland;P29;8975;6922;;28;6894;2235;1256;905;917;315;220;239;550;94;116;33;;7;5;2;
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;4925;3950;;2;3948;1717;772;569;340;162;170;135;12;3;47;14;1;3;1;2;
Baarn;G0308;11411;Utrecht;P26;18351;15117;;21;15096;3921;2427;3088;1976;1033;836;876;506;118;230;61;9;6;9;;
Barendrecht;G0489;10943;Zuid-Holland;P28;25285;21496;;11;21485;5858;5128;3562;2065;842;821;988;740;1056;339;49;13;10;9;5;
Barneveld;G0203;10906;Gelderland;P25;34124;30174;;6;30168;11310;3734;3001;1728;698;612;573;2604;5489;327;57;17;6;8;4;
Bathmen;G0144;11030;Overijssel;P23;4080;3589;;13;3576;1150;360;884;588;199;131;187;12;1;50;10;2;0;1;1;
Bedum;G0005;10425;Groningen;P20;8100;7076;;4;7072;2659;621;651;1132;392;292;328;841;58;81;9;2;3;2;1;
Beek;G0888;11374;Limburg;P31;13101;10204;;12;10192;4035;1834;1428;1134;615;431;450;33;2;166;29;23;5;3;4;
Beemster;G0370;10816;Noord-Holland;P27;6517;5587;;15;5572;1416;929;1350;841;285;274;303;26;3;103;36;3;0;;3;
Beesel;G0889;10195;Limburg;P31;10104;7427;;6;7421;2755;1550;1032;827;431;290;308;16;6;153;30;11;2;3;7;
Bellingwedde;G0007;10340;Groningen;P20;7548;5725;;7;5718;895;1055;736;1818;402;342;218;87;16;117;26;0;2;4;0;
Bemmel;G0206;10744;Gelderland;P25;32110;26070;;16;26054;9351;3675;4159;3610;1601;1257;1566;123;22;561;87;16;4;16;6;
Bennebroek;G0372;10734;Noord-Holland;P27;4165;3609;;4;3605;1175;504;981;335;183;127;229;26;6;30;8;;0;0;1;
Bergambacht;G0491;10962;Zuid-Holland;P28;6863;6024;;3;6021;1469;933;1040;951;158;190;233;277;653;103;8;0;2;2;2;
Bergeijk;G1724;11160;Noord-Brabant;P30;13431;11226;;7;11219;4907;1892;1713;1066;499;508;334;43;6;164;60;6;1;16;4;
Bergen;G0893;11281;Limburg;P31;10046;7582;;10;7572;3267;1350;917;957;304;343;250;9;4;118;33;9;2;8;1;
Bergen;G0373;11424;Noord-Holland;P27;24490;21233;;14;21219;4970;3865;4590;2844;1589;1292;1345;100;17;465;119;12;7;;4;
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;48290;35760;;34;35726;9311;7501;7343;4503;2163;1915;1856;218;38;615;120;47;57;30;9;
Bergh;G0207;10350;Gelderland;P25;14062;10948;;9;10939;4435;1839;1581;1510;498;421;411;29;15;136;38;1;4;15;6;
Bergschenhoek;G0492;10445;Zuid-Holland;P28;9898;8553;;4;8549;2657;2067;1731;646;258;250;377;322;46;167;24;3;0;1;0;
Berkel en Rodenrijs;G0493;10139;Zuid-Holland;P28;12403;10874;;7;10867;3809;2251;1728;852;427;359;406;763;96;141;25;3;1;3;3;
Bernheze;G1721;10149;Noord-Brabant;P30;21367;17061;;26;17035;7480;2132;2324;1576;856;1654;669;25;11;237;29;12;5;25;0;
Bernisse;G0568;10316;Zuid-Holland;P28;9811;8169;;13;8156;2311;1914;1565;973;233;298;403;130;113;184;22;2;6;2;0;
Best;G0753;10442;Noord-Brabant;P30;20339;16466;;25;16441;5614;2816;2930;1783;938;895;855;226;24;233;60;14;16;34;3;
Beuningen;G0209;10417;Gelderland;P25;18642;14898;;38;14860;4485;2336;2619;2141;1122;953;807;75;16;193;72;17;4;20;;
Beverwijk;G0375;10272;Noord-Holland;P27;27225;21207;;17;21190;5099;4481;3014;3535;1685;1433;1002;140;29;536;175;;25;18;18;
Binnenmaas;G0585;10222;Zuid-Holland;P28;14998;12729;;13;12716;3405;2948;2135;1624;436;460;541;219;692;206;38;3;5;2;2;
Bladel;G1728;11006;Noord-Brabant;P30;14341;11568;;36;11532;5100;1736;1606;1083;573;579;450;25;6;280;40;10;4;40;0;
Blaricum;G0376;10493;Noord-Holland;P27;7242;6450;;7;6443;1585;1094;1846;652;338;316;459;55;11;61;19;;0;5;2;
Bleiswijk;G0495;10994;Zuid-Holland;P28;7360;6487;;4;6483;2216;1397;1237;518;198;180;247;266;102;102;11;3;2;4;0;
Bloemendaal;G0377;10850;Noord-Holland;P27;12736;11496;;7;11489;2782;1652;3691;1158;691;410;865;76;22;97;39;;1;4;1;
Boarnsterhim;G0055;10815;Fryslân;P21;14318;12283;;12;12271;2765;1219;2273;3322;980;638;705;92;37;197;31;;4;7;1;
Bodegraven;G0497;11091;Zuid-Holland;P28;14141;11860;;8;11852;4099;2040;1823;1096;495;372;435;637;655;139;51;3;2;3;2;
Boekel;G0755;10432;Noord-Brabant;P30;6860;5617;;7;5610;2718;936;558;455;231;381;201;10;0;68;39;0;2;10;1;
Bolsward;G0064;10865;Fryslân;P21;7050;5808;;9;5799;2329;701;703;897;378;335;199;114;16;96;19;;9;3;0;
Borculo;G0211;11307;Gelderland;P25;8006;6727;;7;6720;1895;667;1773;1363;332;303;231;52;7;67;15;5;1;5;4;
Borger-Odoorn;G1681;10448;Drenthe;P22;20394;16281;;18;16263;3578;2139;2784;4384;894;812;866;463;33;238;49;6;1;14;2;
Borne;G0147;10326;Overijssel;P23;15439;12896;;6;12890;5474;1374;1791;2017;659;615;609;112;16;169;35;10;7;1;1;
Borsele;G0654;10043;Zeeland;P29;16443;13491;;19;13472;4952;1754;1563;1307;593;489;438;347;1806;159;51;;4;7;2;
Boskoop;G0499;10419;Zuid-Holland;P28;11212;9616;;13;9603;3281;1734;1677;757;532;318;432;333;335;158;26;7;2;10;1;
Boxmeer;G0756;11227;Noord-Brabant;P30;21738;17996;;17;17979;7189;2555;2321;1935;1016;1807;776;56;15;208;66;18;7;9;1;
Boxtel;G0757;10083;Noord-Brabant;P30;22336;17013;;20;16993;5517;2691;2363;2244;1316;1369;1056;73;11;225;71;23;13;20;1;
Breda;G0758;10154;Noord-Brabant;P30;124467;93908;;121;93787;25024;15403;17411;12283;7841;6546;6321;516;95;1612;332;134;162;92;15;
Breukelen;G0311;10807;Utrecht;P26;10650;9227;;11;9216;2876;1294;1820;836;526;351;511;339;489;121;42;7;1;3;;
Brielle;G0501;10232;Zuid-Holland;P28;12373;10232;;11;10221;2262;2396;2255;1414;423;519;533;86;29;238;54;6;2;3;1;
Brummen;G0213;10798;Gelderland;P25;16320;13484;;43;13441;3586;1917;2373;3000;788;651;681;109;47;220;39;15;3;12;0;
Brunssum;G0899;10533;Limburg;P31;23417;16406;;27;16379;5273;3410;1559;2508;916;1601;501;198;8;280;58;39;4;19;5;
Bunnik;G0312;10820;Utrecht;P26;10461;9320;;10;9310;3065;1083;1698;1110;850;489;666;101;113;111;17;4;3;0;;
Bunschoten;G0313;11343;Utrecht;P26;13693;12010;;6;12004;5120;1511;592;347;157;163;122;3575;296;89;10;4;13;5;;
Buren;G0214;11286;Gelderland;P25;19456;16256;;13;16243;3698;3160;3336;2818;620;590;723;266;693;279;33;7;5;15;;
Bussum;G0381;10281;Noord-Holland;P27;23627;19718;;23;19695;4679;2917;4843;2618;1388;1096;1434;260;77;213;145;;5;16;4;
Capelle aan den IJssel;G0502;11248;Zuid-Holland;P28;49436;39136;;45;39091;8074;10103;5806;5522;1838;1722;1855;1240;1988;739;116;32;26;21;9;
Castricum;G0383;11287;Noord-Holland;P27;26709;23406;;15;23391;6581;3343;4696;3048;1969;1382;1547;149;17;522;105;19;3;;10;
Coevorden;G0109;10383;Drenthe;P22;27251;22223;;10;22213;6330;2697;3960;5425;1154;868;964;346;74;297;65;16;3;10;4;
Cranendonck;G1706;10219;Noord-Brabant;P30;15322;12124;;11;12113;4947;2402;1759;1277;462;530;426;33;7;181;58;9;1;15;6;
Cromstrijen;G0611;11346;Zuid-Holland;P28;10018;8379;;5;8374;2239;1784;1415;1138;263;359;366;151;481;124;40;6;2;3;3;
Cuijk;G1684;10023;Noord-Brabant;P30;18045;14053;;19;14034;4708;2345;1956;1859;1064;986;753;28;8;212;72;15;15;11;2;
Culemborg;G0216;10342;Gelderland;P25;18543;15037;;19;15018;3520;2815;2506;2364;1262;1103;804;196;126;252;34;7;10;19;;
Dalfsen;G0148;11007;Overijssel;P23;19408;16716;;9;16707;8134;1393;1870;1713;637;437;527;1460;293;192;27;7;4;10;3;
Dantumadeel;G0065;10650;Fryslân;P21;14692;11984;;11;11973;5062;1380;746;1853;495;433;295;953;580;139;20;;5;11;1;
De Bilt;G0310;10168;Utrecht;P26;32257;28199;;29;28170;6809;4052;6123;3365;2161;1622;2079;678;823;347;89;8;3;11;;
De Lier;G0552;10241;Zuid-Holland;P28;8102;7059;;9;7050;3434;1498;1066;306;135;133;183;143;17;110;9;6;4;4;2;
De Marne;G1663;10180;Groningen;P20;8444;6937;;7;6930;1904;826;865;1480;432;422;227;603;32;105;20;7;3;2;2;
De Ronde Venen;G0736;11379;Utrecht;P26;25437;21542;;15;21527;7132;4023;4536;1742;814;868;1007;578;350;348;81;23;5;20;;
De Wolden;G1690;10262;Drenthe;P22;18090;15222;;7;15215;4426;1659;3441;2865;745;620;646;420;60;239;62;16;2;12;2;
Delft;G0503;10928;Zuid-Holland;P28;72674;58947;;141;58806;12253;10167;9143;10129;6112;4136;4253;1103;343;762;154;75;137;30;9;
Delfzijl;G0010;10976;Groningen;P20;22248;16505;;14;16491;4247;2555;2035;4199;870;825;640;629;34;329;82;21;11;11;3;
Den Helder;G0400;10285;Noord-Holland;P27;45825;33260;;39;33221;7501;6864;6681;4478;1925;1542;1703;922;180;874;349;139;41;;22;
Denekamp;G0149;10245;Overijssel;P23;19257;16876;;12;16864;10697;1562;1721;1248;494;409;461;47;6;171;31;8;3;4;2;
Deurne;G0762;10379;Noord-Brabant;P30;24071;18604;;23;18581;7885;3204;2414;1833;1016;1060;685;40;16;309;65;18;7;25;4;
Deventer;G0150;10899;Overijssel;P23;63833;49543;;49;49494;11300;5895;7556;11216;5039;3318;3118;844;77;823;154;72;48;23;11;
Didam;G0218;10153;Gelderland;P25;12781;10255;;7;10248;4254;1733;1269;1514;504;416;363;20;8;121;28;9;4;4;1;
Diemen;G0384;11039;Noord-Holland;P27;17677;13908;;24;13884;2267;3038;2593;2357;1093;989;893;143;18;328;147;;6;7;5;
Dinxperlo;G0219;11154;Gelderland;P25;6403;4782;;3;4779;2325;543;490;707;208;176;149;102;7;56;11;3;1;0;1;
Dirksland;G0504;11344;Zuid-Holland;P28;6166;5254;;2;5252;1304;935;535;608;112;166;147;289;1050;80;18;1;2;3;2;
Doesburg;G0221;10327;Gelderland;P25;8527;6673;;25;6648;1558;1028;940;1311;372;835;349;109;16;75;30;12;6;5;2;
Doetinchem;G0222;10396;Gelderland;P25;36598;28638;;20;28618;8187;3900;4423;5253;2289;1769;1482;502;255;410;89;20;24;13;2;
Dongen;G0766;11412;Noord-Brabant;P30;18711;14524;;12;14512;4838;2255;2259;1855;895;1237;747;108;34;203;34;14;19;8;6;
Dongeradeel;G0058;10198;Fryslân;P21;18344;15313;;15;15298;7996;1611;1049;1830;685;630;373;834;100;144;37;;2;4;3;
Doorn;G0315;10213;Utrecht;P26;7870;6583;;4;6579;1888;928;1550;657;519;251;363;130;192;68;18;6;2;7;;
Dordrecht;G0505;11157;Zuid-Holland;P28;88196;66243;;82;66161;13948;14606;9253;11035;4164;3908;3234;2189;1627;1207;449;184;284;44;29;
Drechterland;G0498;10642;Noord-Holland;P27;7425;6327;;2;6325;2222;1127;1129;645;365;286;289;37;3;177;32;5;8;;0;
Driebergen-Rijsenburg;G0316;10777;Utrecht;P26;13790;11784;;15;11769;3137;1585;2157;1418;1252;621;680;362;340;163;33;9;4;8;;
Drimmelen;G1719;10258;Noord-Brabant;P30;20422;16043;;11;16032;5284;2664;2787;2061;816;952;915;73;21;364;52;14;6;22;1;
Dronten;G0303;10210;Flevoland;P24;25516;21322;;14;21308;7559;3225;4020;2165;1103;702;869;1119;126;334;63;16;5;;2;
Druten;G0225;10068;Gelderland;P25;12936;10340;;8;10332;3357;1657;1633;1696;604;594;534;22;13;170;28;11;10;3;;
Duiven;G0226;11028;Gelderland;P25;18542;15277;;7;15270;4826;2377;2776;2072;1081;772;847;171;21;230;62;23;2;7;3;
Echt;G0902;10941;Limburg;P31;14800;11042;;11;11031;4431;2131;1146;1310;772;502;368;30;10;231;69;17;2;9;3;
Edam-Volendam;G0385;10884;Noord-Holland;P27;21169;17869;;16;17853;6373;5552;2155;1421;630;648;499;94;5;396;56;9;6;;9;
Ede;G0228;10743;Gelderland;P25;75626;63770;;51;63719;20576;8329;8741;5888;3403;2092;2383;4587;6606;780;141;112;41;30;10;
Eemnes;G0317;10248;Utrecht;P26;6283;5503;;5;5498;1592;878;1168;605;312;302;350;130;43;80;22;7;4;5;;
Eemsmond;G1651;10246;Groningen;P20;12720;10343;;7;10336;2910;1178;1061;2495;547;567;326;978;56;180;16;6;4;6;6;
Eersel;G0770;10741;Noord-Brabant;P30;13602;11278;;20;11258;5111;1583;1692;971;587;526;477;53;5;199;37;3;3;9;2;
Eibergen;G0229;10436;Gelderland;P25;12541;10629;;8;10621;4872;1064;1202;1776;548;571;361;46;9;130;23;5;7;5;2;
Eijsden;G0905;10314;Limburg;P31;9037;7209;;10;7199;3129;1099;915;910;490;249;276;17;5;80;21;5;1;2;0;
Eindhoven;G0772;11298;Noord-Brabant;P30;155384;115966;;0;115966;29310;20540;17397;16643;9936;10000;7236;1202;128;2043;715;187;231;357;41;
Elburg;G0230;11113;Gelderland;P25;16004;13690;;10;13680;5116;1347;1413;992;367;312;284;1758;1923;124;24;13;1;3;3;
Emmen;G0114;11180;Drenthe;P22;83158;61900;;40;61860;17541;8146;6825;16904;3586;3455;2552;1444;115;892;216;61;53;58;12;
Enkhuizen;G0388;10729;Noord-Holland;P27;12850;10368;;10;10358;2319;1809;1673;1679;816;728;669;183;163;242;51;7;15;;4;
Enschede;G0153;10364;Overijssel;P23;113074;83252;;108;83144;19618;11414;11828;18593;6780;5451;4415;3129;159;1138;359;135;51;53;21;
Epe;G0232;10940;Gelderland;P25;25794;21035;;10;21025;6399;3094;3671;3553;1075;730;758;675;718;236;61;23;5;20;7;
Ermelo;G0233;10732;Gelderland;P25;19777;16683;;16;16667;6947;2058;2194;1114;704;599;484;1534;792;181;31;11;9;9;0;
Etten-Leur;G0777;10750;Noord-Brabant;P30;29122;21608;;24;21584;6671;3805;3884;2821;1383;1087;1185;125;20;446;94;13;34;15;1;
Ferwerderadiel;G1722;11284;Fryslân;P21;6746;5601;;0;5601;2684;681;535;688;259;251;152;248;18;65;13;;1;3;3;
Franekeradeel;G0070;10404;Fryslân;P21;15436;12262;;15;12247;4523;1410;1388;2393;720;627;490;404;37;201;30;;5;13;6;
Gaasterlân-Sleat;G0653;10036;Fryslân;P21;7752;6743;;4;6739;3058;890;904;673;357;264;201;154;135;82;17;;1;2;1;
Geertruidenberg;G0779;10101;Noord-Brabant;P30;16227;11990;;10;11980;3695;2050;2014;1790;678;721;531;41;34;351;45;12;4;12;2;
Geldermalsen;G0236;10881;Gelderland;P25;18568;15784;;13;15771;4461;2999;2590;2133;654;590;576;231;1261;239;23;4;1;9;;
Geldrop;G0781;10529;Noord-Brabant;P30;21289;16505;;0;16505;5310;3002;2451;1847;1202;1218;834;159;14;284;108;18;10;41;7;
Gemert-Bakel;G1652;10277;Noord-Brabant;P30;20804;16181;;35;16146;6688;2898;2103;1638;837;1042;528;30;5;260;71;29;2;15;0;
Gendringen;G0237;10260;Gelderland;P25;15647;12318;;10;12308;5581;1619;1430;1854;547;515;408;66;11;202;36;12;15;10;2;
Gennep;G0907;10542;Limburg;P31;12733;9330;;16;9314;3383;1670;1087;1188;529;623;624;35;6;118;34;6;3;5;3;
Giessenlanden;G0689;10255;Zuid-Holland;P28;10677;9510;;6;9504;2969;1433;1640;1235;281;311;331;727;405;122;37;4;1;6;2;
Gilze en Rijen;G0784;11375;Noord-Brabant;P30;18438;14717;;12;14705;4833;2467;2392;2008;844;899;812;38;12;270;72;17;9;28;4;
Goedereede;G0511;10981;Zuid-Holland;P28;8749;7781;;9;7772;2206;1156;894;713;126;161;170;417;1837;68;16;3;1;2;2;
Goes;G0664;10674;Zeeland;P29;27589;21501;;14;21487;6689;2552;2986;3024;1565;1028;989;791;1453;273;84;;21;22;10;
Goirle;G0785;10971;Noord-Brabant;P30;17146;13627;;19;13608;4306;2340;2182;1584;1119;988;808;28;5;163;64;7;1;13;0;
Gorinchem;G0512;10942;Zuid-Holland;P28;24681;18931;;16;18915;4075;3599;2952;3406;1074;1021;1114;762;368;362;133;16;9;21;3;
Gorssel;G0239;10085;Gelderland;P25;10541;9124;;11;9113;2922;975;2173;1358;483;470;497;97;7;95;24;4;0;7;1;
Gouda;G0513;10302;Zuid-Holland;P28;51679;42649;;67;42582;9483;8929;5814;6510;3234;2259;2458;1638;1363;715;106;45;8;17;3;
Graafstroom;G0693;10451;Zuid-Holland;P28;6756;6126;;12;6114;2340;650;608;419;106;127;108;622;1073;52;6;2;0;1;0;
Graft-De Rijp;G0365;11417;Noord-Holland;P27;4769;4204;;4;4200;1154;715;902;578;262;243;224;11;1;86;19;4;0;;1;
Grave;G0786;10165;Noord-Brabant;P30;9502;7701;;9;7692;2553;1246;1348;831;512;576;378;31;2;109;85;15;1;4;1;
Groenlo;G0240;11094;Gelderland;P25;7313;5912;;9;5903;2873;625;721;786;280;255;248;8;4;65;22;8;5;3;0;
Groesbeek;G0241;10616;Gelderland;P25;14782;11783;;8;11775;3720;1973;1365;2157;904;895;498;41;9;141;47;10;3;12;;
Groningen;G0014;10426;Groningen;P20;142899;113666;;190;113476;17355;11427;15338;26982;15675;11453;8632;4791;213;1103;271;103;48;63;22;
Grootegast;G0015;11080;Groningen;P20;8806;7155;;5;7150;3263;846;659;817;243;237;159;715;74;115;8;0;3;9;2;
Gulpen-Wittem;G1729;11032;Limburg;P31;11750;9884;;8;9876;4741;1599;882;1084;608;424;335;34;12;118;23;6;1;7;2;
Haaksbergen;G0158;11435;Overijssel;P23;18297;15048;;12;15036;6926;1836;2058;1918;620;628;660;87;10;222;38;18;5;5;5;
Haaren;G0788;11155;Noord-Brabant;P30;10520;8279;;7;8272;3579;1154;1370;711;508;379;407;21;4;106;14;4;1;12;2;
Haarlem;G0392;10357;Noord-Holland;P27;112443;87414;;131;87283;17107;14159;14146;15515;9299;7276;6137;1158;167;1546;550;;102;81;40;
Haarlemmerliede en Spaarnwoude;G0393;10508;Noord-Holland;P27;4106;3545;;2;3543;1001;664;681;378;226;193;252;26;6;97;13;;4;1;1;
Haarlemmermeer;G0394;11387;Noord-Holland;P27;87852;72294;;71;72223;18556;14193;15893;8081;4114;3109;4206;1298;557;1725;374;;34;61;22;
Haelen;G0914;10321;Limburg;P31;7724;5853;;18;5835;2301;1092;888;523;343;232;265;27;5;112;37;4;3;1;2;
Halderberge;G1655;10397;Noord-Brabant;P30;22630;16839;;18;16821;5765;3504;2827;1951;749;844;694;84;19;268;67;17;19;10;3;
Hardenberg;G0160;10174;Overijssel;P23;42359;36031;;20;36011;15426;3490;3499;4989;1143;1131;1036;4330;396;458;66;21;3;20;3;
Harderwijk;G0243;10786;Gelderland;P25;29607;24426;;11;24415;8901;3435;3597;2461;1244;889;970;1803;621;356;60;39;19;16;4;
Hardinxveld-Giessendam;G0523;10167;Zuid-Holland;P28;13003;11371;;3;11368;3114;1472;1083;1231;232;271;203;1594;2013;126;24;3;1;1;0;
Haren;G0017;11058;Groningen;P20;14383;12582;;7;12575;3004;1186;2803;2170;1105;561;987;585;42;89;31;6;4;2;0;
Harenkarspel;G0395;10963;Noord-Holland;P27;11433;9552;;4;9548;3025;1575;1781;1088;565;573;486;56;11;332;42;4;6;;4;
Harlingen;G0072;10909;Fryslân;P21;11587;9123;;11;9112;2334;1489;1267;1931;602;547;399;300;10;173;45;;3;6;6;
Hattem;G0244;10673;Gelderland;P25;8862;7706;;6;7700;2520;683;890;1453;245;234;260;1212;97;75;23;5;0;2;1;
Heel;G1937;11208;Limburg;P31;6344;4644;;16;4628;1881;782;663;502;247;193;223;6;2;87;31;7;1;3;0;
Heemskerk;G0396;10679;Noord-Holland;P27;26792;21420;;20;21400;6087;3877;3236;3226;1666;1203;1168;198;32;537;137;;13;18;2;
Heemstede;G0397;11288;Noord-Holland;P27;19577;17197;;17;17180;4409;2409;4750;1843;1267;774;1352;123;19;150;70;;4;7;3;
Heerde;G0246;10291;Gelderland;P25;13897;11735;;15;11720;4452;1275;1356;1965;385;321;287;1149;375;124;15;5;3;3;5;
Heerenveen;G0074;10680;Fryslân;P21;32015;25379;;25;25354;5673;3240;3915;6483;1818;1526;1256;811;43;473;69;;23;18;6;
Heerhugowaard;G0398;10752;Noord-Holland;P27;34224;27658;;18;27640;7378;4417;5328;3733;2058;1479;1771;394;29;876;121;17;24;;15;
Heerjansdam;G0526;10540;Zuid-Holland;P28;2796;2442;;9;2433;725;546;355;324;90;102;113;59;40;58;16;1;3;0;1;
Heerlen;G0917;10902;Limburg;P31;72869;48901;;57;48844;14227;10509;4460;6726;3312;6152;1839;298;56;888;218;96;12;38;13;
Heeze-Leende;G1658;10462;Noord-Brabant;P30;11683;9828;;18;9810;4064;1520;1729;884;494;424;463;25;4;140;33;4;5;20;1;
Heiloo;G0399;10793;Noord-Holland;P27;16951;14716;;25;14691;3999;2001;3354;1982;1085;820;975;128;15;245;71;5;5;;6;
Helden;G0918;10205;Limburg;P31;14423;11089;;9;11080;4867;1853;1802;895;618;431;333;27;4;184;37;1;15;11;2;
Hellendoorn;G0163;10806;Overijssel;P23;27599;23468;;20;23448;12818;2235;1925;2714;891;800;607;978;107;272;71;9;6;11;4;
Hellevoetsluis;G0530;11078;Zuid-Holland;P28;29062;22427;;25;22402;4004;6701;4152;3127;1095;1166;1038;279;86;544;138;29;18;20;5;
Helmond;G0794;10932;Noord-Brabant;P30;60480;43609;;76;43533;11911;10113;6545;5739;2448;3445;1795;226;27;792;321;67;21;75;8;
Hendrik-Ido-Ambacht;G0531;10416;Zuid-Holland;P28;15670;13393;;12;13381;3651;2555;1839;1436;431;418;497;569;1718;208;34;13;5;4;3;
Hengelo;G0248;10359;Gelderland;P25;6549;5444;;4;5440;2734;644;717;731;160;161;179;26;11;75;1;1;0;0;0;
Hengelo;G0164;10907;Overijssel;P23;60928;48787;;70;48717;15631;6160;6589;8377;3657;3635;2632;1018;66;641;161;104;11;21;14;
Het Bildt;G0063;10128;Fryslân;P21;7919;6326;;5;6321;2386;858;723;1211;331;376;174;137;13;84;19;;1;5;3;
Heumen;G0252;10600;Gelderland;P25;12198;10353;;13;10340;3504;1319;1739;1419;944;587;646;26;2;110;22;11;2;9;;
Heusden;G0797;10307;Noord-Brabant;P30;32519;25597;;0;25597;8927;4473;4267;2621;1563;1514;1322;129;67;460;134;26;15;56;23;
Heythuysen;G0920;10840;Limburg;P31;9048;7080;;11;7069;3289;1152;992;534;361;259;296;31;4;107;35;4;2;0;3;
Hillegom;G0534;11236;Zuid-Holland;P28;15556;12807;;11;12796;4173;2520;2441;1302;723;552;606;107;81;212;48;8;2;14;7;
